,features,score
32,motif_footprint_score_JASPA_MA0671.1_NFIX_2,0.008725858436958783
77,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_2,0.008651412346275634
38,motif_footprint_score_JASPA_MA0469.2_E2F3_3,0.008644905060623796
92,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_2,0.008558879802209688
58,motif_footprint_score_JASPA_MA0060.3_NFYA_3,0.008552560331394043
9,motif_footprint_score_JASPA_MA0139.1_CTCF_4,0.008539090374913391
31,motif_footprint_score_JASPA_MA0671.1_NFIX_1,0.008526638615039958
42,motif_footprint_score_JASPA_MA0841.1_NFE2_2,0.008461906814730667
91,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_1,0.008374229562119641
51,motif_footprint_score_JASPA_MA0864.1_E2F2_1,0.008372127209135348
41,motif_footprint_score_JASPA_MA0841.1_NFE2_1,0.008339352340519678
61,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_1,0.008313181790292976
25,motif_footprint_score_JASPA_MA0150.2_NFE2L2_0,0.00825877875021354
30,motif_footprint_score_JASPA_MA0671.1_NFIX_0,0.008205352343298548
47,motif_footprint_score_JASPA_MA0024.3_E2F1_2,0.00811533679275593
54,motif_footprint_score_JASPA_MA0864.1_E2F2_4,0.008103128165395273
95,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_0,0.008097018343443289
88,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_3,0.008093431248991987
50,motif_footprint_score_JASPA_MA0864.1_E2F2_0,0.00806981970375134
80,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_0,0.008035211657311634
6,motif_footprint_score_JASPA_MA0139.1_CTCF_1,0.007962745043645641
15,motif_footprint_score_JASPA_MA0470.1_E2F4_0,0.007953389996587493
18,motif_footprint_score_JASPA_MA0470.1_E2F4_3,0.007947088503349853
48,motif_footprint_score_JASPA_MA0024.3_E2F1_3,0.007928069201669464
86,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_1,0.00789373675701112
11,motif_footprint_score_JASPA_MA0493.1_KLF1_1,0.007817763652980838
10,motif_footprint_score_JASPA_MA0493.1_KLF1_0,0.007816954178381035
63,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_3,0.007803964003989583
78,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_3,0.007637583206420749
99,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_4,0.007629918751100179
66,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_1,0.00762936639103591
53,motif_footprint_score_JASPA_MA0864.1_E2F2_3,0.007627550761217101
16,motif_footprint_score_JASPA_MA0470.1_E2F4_1,0.007602194237603348
17,motif_footprint_score_JASPA_MA0470.1_E2F4_2,0.0075840494764084785
75,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_0,0.007577009225036187
3,motif_footprint_score_Homer_known_GSE104676_BCL11A_3,0.007559589355946187
39,motif_footprint_score_JASPA_MA0469.2_E2F3_4,0.00747753285878793
79,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_4,0.007474834013339339
84,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_4,0.007454558017798185
8,motif_footprint_score_JASPA_MA0139.1_CTCF_3,0.007415906944498011
89,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_4,0.007341641173320638
96,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_1,0.007315137707748865
12,motif_footprint_score_JASPA_MA0493.1_KLF1_2,0.007311320482237004
24,motif_footprint_score_JASPA_MA0035.3_GATA1_4,0.0073094593712073105
81,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_1,0.007245470006571529
33,motif_footprint_score_JASPA_MA0671.1_NFIX_3,0.007222132856115448
28,motif_footprint_score_JASPA_MA0150.2_NFE2L2_3,0.007213251455546942
57,motif_footprint_score_JASPA_MA0060.3_NFYA_2,0.007200860430587445
52,motif_footprint_score_JASPA_MA0864.1_E2F2_2,0.007172479191180657
44,motif_footprint_score_JASPA_MA0841.1_NFE2_4,0.007140615238693506
40,motif_footprint_score_JASPA_MA0841.1_NFE2_0,0.0070680766218165795
5,motif_footprint_score_JASPA_MA0139.1_CTCF_0,0.00704141545092092
46,motif_footprint_score_JASPA_MA0024.3_E2F1_1,0.006928006659280744
49,motif_footprint_score_JASPA_MA0024.3_E2F1_4,0.006922129275632119
13,motif_footprint_score_JASPA_MA0493.1_KLF1_3,0.006887594099699884
4,motif_footprint_score_Homer_known_GSE104676_BCL11A_4,0.0068081187796236245
45,motif_footprint_score_JASPA_MA0024.3_E2F1_0,0.006746311324896132
97,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_2,0.00671117948634291
67,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_2,0.006697132873836186
7,motif_footprint_score_JASPA_MA0139.1_CTCF_2,0.006686531045423899
43,motif_footprint_score_JASPA_MA0841.1_NFE2_3,0.006633333733871954
26,motif_footprint_score_JASPA_MA0150.2_NFE2L2_1,0.006626456783760457
27,motif_footprint_score_JASPA_MA0150.2_NFE2L2_2,0.006619677783701505
34,motif_footprint_score_JASPA_MA0671.1_NFIX_4,0.006582792300466624
29,motif_footprint_score_JASPA_MA0150.2_NFE2L2_4,0.006522196532248697
82,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_2,0.006400191023270883
59,motif_footprint_score_JASPA_MA0060.3_NFYA_4,0.006342449677647633
60,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_0,0.006330986726556903
19,motif_footprint_score_JASPA_MA0470.1_E2F4_4,0.006150320627643515
1,motif_footprint_score_Homer_known_GSE104676_BCL11A_1,0.006126493177199859
98,motif_footprint_score_Homer-Erythroblasts-ZBTB7A-GSE74977_3,0.006067217473899958
14,motif_footprint_score_JASPA_MA0493.1_KLF1_4,0.005931009885406454
115,#HiChIP_degree,0.005859166636924185
65,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_0,0.00580102877027496
93,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_3,0.005642573069651435
73,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_3,0.005612307806622384
69,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_4,0.00560650203620907
94,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_4,0.005601013708077439
2,motif_footprint_score_Homer_known_GSE104676_BCL11A_2,0.005588427110493664
83,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN4_3,0.005528542681213446
71,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_1,0.00552555589284213
68,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN1_3,0.005473162541215222
74,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_4,0.005317458762605624
72,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_2,0.00482496110081247
