0,7630ee924e6c-Hudep2_ATAC,35787a79304d-Hudep2_D3_merged_CTCF.all,44c76ccadce7-Hudep2_BCL11A,b0983cdb936b-Hudep2_D0_GATA1.all,38099f37f895-HUDEP2_LRF_CHIP,f953767675a6-Hudep2_D3_merged_GATA1.all,3e5c21726168-Hudep2_D3_merged_KLF1.all,b775685959b2-Hudep2_D3_merged_LDB1.all,eeb28b893ba0-Hudep2_D3_merged_TAL1.all
chr11:5012415-5012416,185.865,48.477,1.98227,7.040780000000001,12.2145,12.3191,5.96631,8.6773,5.48227
chr11:5012425-5012426,200.954,50.6933,2.0,7.173760000000001,12.4273,12.7624,5.99291,8.84574,5.5
chr11:5012472-5012473,256.161,59.8262,1.92376,7.73227,12.9309,14.4911,6.23227,9.49468,5.1950400000000005
chr11:5012481-5012482,259.697,60.6755,1.9042599999999998,7.79255,12.9326,14.6348,6.29965,9.54965,5.13121
chr11:5012483-5012484,259.782,60.7926,1.89716,7.80319,12.922,14.6418,6.31738,9.56738,5.11702
chr11:5108644-5108645,145.47899999999998,7.5106399999999995,2.40603,18.4433,20.0833,7.2358199999999995,8.83865,7.50709,4.23759
chr11:5108646-5108647,147.06,7.47872,2.40957,18.5532,20.016,7.29965,8.83865,7.51773,4.28014
chr11:5108656-5108657,154.968,7.31915,2.4273,19.1028,19.6791,7.61879,8.83865,7.57092,4.49291
chr11:5150730-5150731,104.881,7.52482,6.67553,6.63121,13.2181,25.976999999999997,7.9078,8.436169999999999,6.12234
chr11:5150817-5150818,141.528,10.5443,6.37234,7.45745,13.6738,26.5337,7.734039999999999,7.14716,8.07092
chr11:5150818-5150819,141.69899999999998,10.5727,6.35816,7.466310000000001,13.6667,26.5,7.734039999999999,7.13298,8.09043
chr11:5173045-5173046,874.335,14.9982,24.6472,136.72299999999998,37.8351,273.645,69.7004,177.399,186.915
chr11:5173047-5173048,886.566,15.1011,24.9947,138.035,37.9096,275.29400000000004,70.1933,179.02,187.929
chr11:5173053-5173054,923.257,15.4096,26.0372,141.972,38.133,280.241,71.672,183.88099999999997,190.972
chr11:5173055-5173056,935.488,15.5124,26.3848,143.284,38.2074,281.89,72.1649,185.502,191.986
chr11:5173086-5173087,1097.65,16.8067,31.7784,160.255,38.6862,299.888,78.5372,204.39700000000002,203.83
chr11:5173087-5173088,1102.32,16.8404,31.9965,160.727,38.6702,300.216,78.7234,204.77700000000002,204.12099999999998
chr11:5173088-5173089,1106.99,16.8741,32.2145,161.19899999999998,38.6543,300.54400000000004,78.9096,205.15599999999998,204.41099999999997
chr11:5173106-5173107,1191.02,17.4805,36.1401,169.688,38.367,306.449,82.2606,211.986,209.645
chr11:5173110-5173111,1209.69,17.6152,37.0124,171.574,38.3032,307.76099999999997,83.0053,213.50400000000002,210.80900000000003
chr11:5173163-5173164,1306.51,18.6223,46.5089,182.835,35.5975,307.874,87.9433,210.53,218.468
chr11:5173165-5173166,1308.27,18.6543,46.8528,183.105,35.4628,307.658,88.0745,210.101,218.66299999999998
chr11:5173174-5173175,1309.18,18.7482,48.0603,183.62900000000002,34.8918,306.28700000000003,88.4238,207.638,219.08700000000002
chr11:5173209-5173210,1198.56,18.9255,49.3989,175.465,31.726999999999997,291.26099999999997,86.1099,185.794,213.954
chr11:5173231-5173232,1110.53,19.0195,48.983999999999995,168.61,29.7926,280.661,83.7961,171.294,209.12099999999998
chr11:5181611-5181612,54.3582,2.68617,0.113475,13.6702,8.04965,18.5993,8.16667,11.2872,10.9397
chr11:5186340-5186341,2.9609900000000002,2.56383,0.390071,8.43262,11.4344,11.383,2.00177,3.9698599999999997,6.0904300000000005
chr11:5186363-5186364,2.6755299999999997,2.8492900000000003,0.22695,7.698580000000001,11.0266,11.1383,2.12411,3.39894,6.21277
chr11:5186382-5186383,2.56738,3.1223400000000003,0.134752,7.28901,10.695,10.8723,2.1773,3.06028,6.244680000000001
chr11:5186435-5186436,2.53191,4.03901,0.0,6.71277,9.29078,9.43085,2.14007,2.57801,5.74113
chr11:5186437-5186438,2.54255,4.0602800000000006,0.0,6.70567,9.2234,9.35638,2.13298,2.58511,5.6950400000000005
chr11:5186438-5186439,2.54787,4.07092,0.0,6.70213,9.18972,9.31915,2.1294299999999997,2.58865,5.67199
chr11:5226205-5226206,311.738,98.3617,46.4326,8.74468,24.2784,4.84397,19.6631,10.0975,7.79787
chr11:5226215-5226216,336.897,99.8511,48.5071,8.90426,24.2429,4.6844,19.7695,10.0266,7.921989999999999
chr11:5226216-5226217,339.413,100.0,48.7145,8.92021,24.2394,4.66844,19.7801,10.0195,7.9344
chr11:5226294-5226295,423.264,88.8085,48.3777,8.74468,21.9043,4.6028400000000005,18.5975,8.539010000000001,8.104610000000001
chr11:5226296-5226297,422.452,88.1348,48.0408,8.712769999999999,21.8085,4.62411,18.5266,8.5,8.07979
chr11:5226298-5226299,421.64,87.461,47.7039,8.68085,21.7128,4.64539,18.4557,8.460989999999999,8.054960000000001
chr11:5226305-5226306,418.798,85.1028,46.5248,8.56915,21.3777,4.71986,18.2074,8.32447,7.968089999999999
chr11:5245907-5245908,635.5830000000001,11.2092,12.2642,21.1472,52.8848,62.3014,38.3351,27.0762,27.2642
chr11:5245945-5245946,679.665,10.6809,13.3067,19.5798,53.6613,57.7677,38.0709,24.9397,28.0479
chr11:5245962-5245963,693.8919999999999,10.4096,13.6082,19.0372,53.7819,54.7837,37.7092,23.6738,28.2287
chr11:5245970-5245971,700.587,10.2819,13.75,18.7819,53.8387,53.3794,37.539,23.078000000000003,28.3138
chr11:5246236-5246237,707.6289999999999,9.03369,19.6188,16.789,44.0408,23.406,27.5177,19.0461,24.3582
chr11:5246237-5246238,706.541,9.01418,19.6082,16.7819,43.8848,23.3972,27.5018,19.0887,24.3262
chr11:5246242-5246243,701.0980000000001,8.91667,19.555,16.7465,43.1046,23.3528,27.421999999999997,19.3014,24.1667
chr11:5246244-5246245,698.92,8.87766,19.5337,16.7323,42.7926,23.3351,27.3901,19.3865,24.1028
chr11:5246246-5246247,696.743,8.83865,19.5124,16.7181,42.4805,23.3174,27.3582,19.4716,24.039
chr11:5246279-5246280,661.6469999999999,8.27482,19.0975,16.484,37.6348,23.1206,26.8635,20.7004,23.0975
chr11:5246280-5246281,660.145,8.2695,19.0532,16.4681,37.4699,23.1082,26.8564,20.7252,23.0674
chr11:5246293-5246294,640.622,8.20035,18.477,16.2606,35.3262,22.9468,26.7642,21.0479,22.6755
chr11:5246294-5246295,639.121,8.195039999999999,18.4326,16.2447,35.1613,22.9344,26.7571,21.0727,22.6454
chr11:5246314-5246315,609.085,8.08865,17.5461,15.9255,31.8635,22.6862,26.6152,21.5691,22.0426
chr11:5246896-5246897,662.5980000000001,15.5603,38.7429,45.0142,40.7979,41.1099,36.3475,21.8954,21.5443
chr11:5246901-5246902,673.927,15.578,39.6472,45.5727,40.7979,41.5443,36.3121,21.8954,21.7926
chr11:5246905-5246906,682.9910000000001,15.5922,40.3706,46.0195,40.7979,41.8918,36.2837,21.8954,21.9911
chr11:5246906-5246907,685.257,15.5957,40.5514,46.1312,40.7979,41.9787,36.2766,21.8954,22.0408
chr11:5246908-5246909,689.789,15.6028,40.9131,46.3546,40.7979,42.1525,36.2624,21.8954,22.1401
chr11:5246959-5246960,722.9960000000001,15.905999999999999,44.5567,48.093999999999994,39.9574,44.6738,35.9699,22.5656,24.6454
chr11:5246963-5246964,722.699,15.9344,44.6489,48.093999999999994,39.8582,44.8156,35.9486,22.6507,24.8511
chr11:5246966-5246967,722.475,15.9557,44.7181,48.093999999999994,39.7837,44.922,35.9326,22.7145,25.0053
chr11:5246970-5246971,722.177,15.984000000000002,44.8103,48.093999999999994,39.6844,45.0638,35.9113,22.7996,25.211
chr11:5248367-5248368,2328.19,17.1968,32.9699,22.805,40.8156,52.5957,97.9752,24.195,32.1667
chr11:5248398-5248399,2161.89,16.2465,31.023000000000003,21.7039,37.0408,50.7128,95.1489,24.055,29.6011
chr11:5248436-5248437,1883.0,14.9681,28.3759,19.6578,33.2145,48.1809,88.4202,23.9096,26.0674
chr11:5248437-5248438,1872.66,14.9379,28.2819,19.5798,33.1525,48.0957,88.1348,23.8989,25.9716
chr11:5248456-5248457,1676.16,14.3652,26.4965,18.0975,31.9734,46.4787,82.711,23.6968,24.1525
chr11:5249150-5249151,108.816,7.0106399999999995,5.0461,11.1667,16.4521,29.7323,20.6401,12.1365,5.994680000000001
chr11:5249152-5249153,109.09899999999999,7.05319,5.02128,11.2234,16.5337,29.7961,20.7358,12.1188,5.9734
chr11:5249162-5249163,110.51799999999999,7.265960000000001,4.8971599999999995,11.5071,16.9415,30.1152,21.2145,12.0301,5.86702
chr11:5255877-5255878,434.846,22.6117,12.672,36.9468,14.4947,167.39,15.5018,24.6897,25.2092
chr11:5255968-5255969,273.468,17.6897,9.76773,40.9681,14.2181,164.697,17.2784,23.461,20.828000000000003
chr11:5263459-5263460,71.2855,7.3422,6.53546,8.25177,13.6702,15.1915,6.17199,13.9131,8.89894
chr11:5263461-5263462,71.633,7.38121,6.5922,8.30142,13.6525,15.2624,6.2039,14.0053,8.93794
chr11:5263466-5263467,72.5018,7.47872,6.734039999999999,8.42553,13.6082,15.4397,6.28369,14.2358,9.03546
chr11:5263467-5263468,72.6755,7.49823,6.762410000000001,8.45035,13.5993,15.4752,6.29965,14.2819,9.054960000000001
chr11:5263505-5263506,76.4947,7.71277,7.49823,9.113480000000001,13.2943,16.4025,6.98227,14.9965,9.70213
chr11:5263506-5263507,76.5957,7.716310000000001,7.51773,9.131210000000001,13.2855,16.4273,7.00177,15.0106,9.71986
chr11:5263513-5263514,77.3032,7.74113,7.654260000000001,9.25532,13.2234,16.6011,7.1383,15.1099,9.84397
chr11:5263515-5263516,77.5053,7.74823,7.69326,9.29078,13.2057,16.6507,7.1773,15.1383,9.879430000000001
chr11:5263541-5263542,78.5106,7.70745,7.99291,9.50177,13.2092,17.0727,7.67908,14.8848,10.1383
chr11:5263542-5263543,78.5124,7.7039,8.00177,9.50532,13.2092,17.0869,7.70213,14.8617,10.1472
chr11:5263598-5263599,75.4752,7.3883,8.063830000000001,9.42021,12.9947,17.2624,8.710989999999999,13.1011,10.3085
chr11:5263610-5263611,73.6667,7.281910000000001,7.93617,9.313830000000001,12.9096,17.0922,8.85993,12.5479,10.2234
chr11:5263621-5263622,71.9823,7.187939999999999,7.8156,9.212769999999999,12.8351,16.9309,8.99113,12.0496,10.1418
chr11:5263624-5263625,71.4504,7.171989999999999,7.77305,9.17553,12.8245,16.8723,9.012410000000001,11.9379,10.1099
chr11:5264340-5264341,72.1596,3.2801400000000003,4.86879,4.356380000000001,11.2287,2.1117,8.15248,7.72695,5.36879
chr11:5264375-5264376,88.4628,3.82979,5.67553,4.25,12.0,2.24468,8.84397,7.58511,5.17376
chr11:5264384-5264385,90.8493,4.00177,5.75177,4.25887,12.1613,2.33688,8.93085,7.50355,5.10993
chr11:5264411-5264412,97.6472,4.62411,5.89539,4.3067400000000005,12.6879,2.7198599999999997,9.17021,7.216310000000001,4.91844
chr11:5264421-5264422,100.0,4.8510599999999995,5.94149,4.32447,12.8777,2.8617,9.25177,7.1117,4.847519999999999
chr11:5264761-5264762,91.6241,6.01773,4.32092,5.1028400000000005,16.3351,4.34574,10.4344,4.90426,2.3244700000000003
chr11:5264805-5264806,107.83,6.77837,3.7907800000000003,4.494680000000001,17.2447,3.94149,9.59929,5.40071,3.4237599999999997
chr11:5265117-5265118,50.6418,5.57447,2.24645,5.9539,10.5656,3.42553,3.07801,8.03191,3.6826199999999996
chr11:5265129-5265130,47.093999999999994,5.45213,2.16135,5.89539,10.3475,3.53191,3.08865,7.968089999999999,3.66135
chr11:5265161-5265162,36.711,5.0549599999999995,1.9911299999999998,5.66844,9.78014,3.98582,3.54255,8.02482,3.8315599999999996
chr11:5265168-5265169,34.4397,4.96809,1.9539,5.61879,9.65603,4.08511,3.64184,8.037230000000001,3.86879
chr11:5265169-5265170,34.1152,4.95567,1.94858,5.6117,9.6383,4.09929,3.6560300000000003,8.039010000000001,3.87411
chr11:5265172-5265173,33.4574,4.93262,1.92553,5.59397,9.59929,4.1383,3.69858,8.054960000000001,3.89716
chr11:5265967-5265968,480.385,5.89539,19.8989,26.1489,18.1028,54.3528,26.1188,20.9716,19.5355
chr11:5265968-5265969,484.615,5.89539,20.0496,26.2181,18.0816,54.5869,26.1791,21.0762,19.6294
chr11:5265970-5265971,493.07599999999996,5.89539,20.3511,26.3564,18.039,55.055,26.2996,21.2855,19.8174
chr11:5265973-5265974,502.22,5.90603,20.6383,26.4628,17.9699,55.4805,26.3848,21.4982,20.0089
chr11:5265975-5265976,508.316,5.913119999999999,20.8298,26.5337,17.9238,55.7642,26.4415,21.6401,20.1365
chr11:5266009-5266010,635.773,6.40603,23.6596,28.0585,17.2996,61.2784,27.1933,24.1578,22.945
chr11:5266055-5266056,733.814,7.50887,23.9805,29.7411,16.578,65.7482,26.9982,25.5869,25.7713
chr11:5266065-5266066,747.9630000000001,7.8102800000000006,23.6791,30.1135,16.4184,66.4752,26.8209,25.711,26.3387
chr11:5266067-5266068,750.793,7.87057,23.6188,30.1879,16.3865,66.6206,26.7855,25.7358,26.4521
chr11:5266509-5266510,20.0585,3.8439699999999997,4.07092,13.6117,13.2252,8.75532,11.0798,8.69858,5.12057
chr11:5266510-5266511,20.1135,3.8368800000000003,4.06738,13.6082,13.2128,8.72695,11.0762,8.66135,5.09929
chr11:5266511-5266512,20.1684,3.82979,4.06383,13.6046,13.2004,8.69858,11.0727,8.62411,5.07801
chr11:5266557-5266558,22.055,3.5195,3.88475,13.3404,12.8582,8.03191,11.4521,6.9078,4.29433
chr11:5296477-5296478,9.59752,10.5585,2.2801400000000003,7.36525,10.8387,3.5390099999999998,14.3759,11.1348,6.07092
chr11:5296526-5296527,11.6418,12.6312,2.75532,8.260639999999999,12.3085,4.26064,15.8759,13.3812,8.12589
chr11:5296537-5296538,12.1135,13.1294,2.7801400000000003,8.42553,12.8777,4.43794,16.234,13.9238,8.57092
chr11:5297162-5297163,994.316,20.5479,55.4628,75.4699,47.7713,193.65200000000002,83.273,47.3121,69.2482
chr11:5297168-5297169,1035.23,21.016,57.5479,76.6082,48.0691,195.535,83.7092,48.1631,69.5035
chr11:5297170-5297171,1048.87,21.171999999999997,58.2429,76.9876,48.1684,196.16299999999998,83.8546,48.4468,69.5887
chr11:5297171-5297172,1053.54,21.2287,58.4557,77.0833,48.1613,196.25900000000001,83.867,48.5266,69.594
chr11:5297172-5297173,1058.2,21.2855,58.6684,77.1791,48.1543,196.355,83.8794,48.6064,69.5993
chr11:5297273-5297274,1229.75,25.6152,62.9309,74.3812,39.7748,176.58900000000003,75.0993,49.6028,60.4787
chr11:5297274-5297275,1227.0,25.6135,62.7553,74.2394,39.6667,176.21599999999998,74.9628,49.5284,60.3422
chr11:5302001-5302002,1519.33,24.0674,137.339,77.5479,67.0213,128.61,546.89,200.59,145.564
chr11:5302474-5302475,45.4876,8.35106,3.32447,9.75532,16.4362,5.244680000000001,28.2589,15.9291,8.07447
chr11:5302483-5302484,44.133,8.09929,3.28546,9.68794,16.234,5.0461,27.0301,15.5532,7.7766
chr11:5302494-5302495,42.0656,7.74823,3.22695,9.64894,15.922,4.79255,25.4309,15.0071,7.44504
chr11:5302519-5302520,37.367,6.95035,3.09397,9.56028,15.2128,4.21631,21.7961,13.765999999999998,6.691489999999999
chr11:5302520-5302521,37.1791,6.9184399999999995,3.08865,9.55674,15.1844,4.1932599999999995,21.6507,13.7163,6.66135
chr11:5302521-5302522,37.0479,6.89716,3.08865,9.55851,15.1613,4.18617,21.5887,13.6862,6.6578
chr11:5302522-5302523,36.9167,6.875889999999999,3.08865,9.56028,15.1383,4.17908,21.5266,13.655999999999999,6.654260000000001
chr11:5302555-5302556,30.5124,6.12766,2.90426,9.710989999999999,14.3777,3.85284,19.3404,12.2926,6.3528400000000005
chr11:5302558-5302559,29.8794,6.05851,2.88298,9.72695,14.3085,3.8209199999999996,19.1383,12.1596,6.32092
chr11:5302560-5302561,29.4574,6.01241,2.86879,9.737589999999999,14.2624,3.79965,19.0035,12.0709,6.29965
chr11:5302561-5302562,29.2465,5.98936,2.8617,9.74291,14.2394,3.7890099999999998,18.9362,12.0266,6.28901
chr11:5302569-5302570,27.5585,5.8049599999999995,2.80496,9.78546,14.055,3.7039,18.3972,11.672,6.2039
chr11:5305317-5305318,17.8599,8.45035,0.932624,9.20745,15.9752,6.2961,16.9911,12.405999999999999,9.831560000000001
chr11:5305368-5305369,21.4504,9.20567,0.77305,11.5266,17.9858,6.5461,18.2252,12.4113,10.0284
chr11:5305404-5305405,25.5638,9.45922,0.734043,12.6472,20.1667,7.29787,19.0514,12.5443,9.79078
chr11:5305405-5305406,25.7039,9.46631,0.734043,12.6773,20.2376,7.326239999999999,19.078,12.5496,9.78369
chr11:5305406-5305407,25.844,9.4734,0.734043,12.7074,20.3085,7.354610000000001,19.1046,12.555,9.7766
chr11:5305407-5305408,25.984,9.4805,0.734043,12.7376,20.3794,7.38298,19.1312,12.5603,9.7695
chr11:5305408-5305409,26.1241,9.487589999999999,0.734043,12.7677,20.4504,7.41135,19.1578,12.5656,9.762410000000001
chr11:5305409-5305410,26.2642,9.49468,0.734043,12.7979,20.5213,7.4397199999999994,19.1844,12.5709,9.75532
chr11:5305410-5305411,26.4043,9.50177,0.734043,12.828,20.5922,7.468089999999999,19.211,12.5762,9.74823
chr11:5306054-5306055,2500.08,23.3918,200.078,182.65599999999998,90.6082,409.305,364.963,195.433,310.415
chr11:5306056-5306057,2490.16,23.3387,199.44,182.408,90.6188,409.106,365.25699999999995,195.34,310.096
chr11:5306066-5306067,2440.59,23.0727,196.248,181.167,90.67200000000001,408.11300000000006,366.72900000000004,194.87900000000002,308.5
chr11:5308987-5308988,64.7004,5.77482,2.5283700000000002,10.4344,21.2358,9.62411,18.1578,12.2908,10.422
chr11:5308996-5308997,64.7482,6.1578,2.62411,10.8972,21.4113,10.055,18.8918,12.1631,10.9805
chr11:5308997-5308998,64.7535,6.20035,2.63475,10.9486,21.4309,10.1028,18.9734,12.1489,11.0426
chr11:5309024-5309025,64.6418,7.31383,2.92199,12.3014,21.921999999999997,11.3741,21.055,11.8156,12.6543
chr11:5309026-5309027,64.5248,7.38121,2.94326,12.3865,21.9433,11.4592,21.1578,11.8121,12.7465
chr11:5309027-5309028,64.4663,7.41489,2.9539,12.4291,21.9539,11.5018,21.2092,11.8103,12.7926
chr11:5309033-5309034,63.9167,7.6595699999999995,3.01773,12.7908,21.9823,12.0266,21.6383,11.8989,13.2465
chr11:5309041-5309042,63.0514,8.01418,3.10284,13.344000000000001,21.9965,12.905999999999999,22.2908,12.0833,13.9699
chr11:5309043-5309044,62.8351,8.102839999999999,3.12411,13.4823,22.0,13.1259,22.4539,12.1294,14.1507
chr11:5309048-5309049,62.2943,8.32447,3.1773,13.828,22.0089,13.6755,22.8617,12.2447,14.6028
chr11:5309049-5309050,62.1862,8.368789999999999,3.18794,13.8972,22.0106,13.7855,22.9433,12.2677,14.6933
