0,9d99e0c01bea-Hudep2_ATAC,208b261f9712-Hudep2_D3_merged_CTCF.all,c901e1d003c0-Hudep2_BCL11A,f5c02463d20c-Hudep2_D0_GATA1.all,73b80df8d18d-HUDEP2_LRF_CHIP,f60a6201d4a2-Hudep2_D3_merged_GATA1.all,e4c0e83f0766-Hudep2_D3_merged_KLF1.all,2f18922967dc-Hudep2_D3_merged_LDB1.all,d29509edf3ff-Hudep2_D3_merged_TAL1.all
chr11:5173209-5173210,1218.93,18.9339,50.5599,177.31799999999998,31.7231,292.316,86.9545,186.793,215.331
chr11:5173231-5173232,1116.57,19.0269,49.4236,169.372,29.7459,281.403,84.1302,171.43400000000003,209.88400000000001
chr11:5181611-5181612,55.8223,2.7520700000000002,0.0909091,13.8099,8.09504,18.9504,8.11983,11.3946,11.1095
chr11:5186340-5186341,2.89256,2.47107,0.37190100000000004,8.38017,11.5062,11.4876,2.02273,3.9648800000000004,6.12603
chr11:5186363-5186364,2.59711,2.80992,0.194215,7.58058,11.0434,11.1963,2.15289,3.33678,6.2562
chr11:5186382-5186383,2.55785,3.12397,0.115702,7.22727,10.7293,10.9215,2.19215,3.02273,6.29545
chr11:5186435-5186436,2.5,4.07851,0.0,6.69835,9.34298,9.49793,2.15496,2.5,5.82645
chr11:5186437-5186438,2.5,4.10744,0.0,6.694210000000001,9.293389999999999,9.44421,2.15083,2.49174,5.80165
chr11:5186438-5186439,2.5,4.1219,0.0,6.69215,9.2686,9.41736,2.14876,2.4876,5.78926
chr11:5226205-5226206,315.93,99.9917,47.3099,8.84711,24.406999999999996,4.7562,19.7314,10.2376,7.86777
chr11:5226215-5226216,340.403,100.90100000000001,49.1074,8.97107,24.3347,4.6115699999999995,19.8037,10.1136,8.00207
chr11:5226216-5226217,342.366,100.90899999999999,49.2252,8.977269999999999,24.3244,4.60124,19.8058,10.0971,8.01446
chr11:5226294-5226295,435.31199999999995,90.1405,49.6591,8.84711,21.9917,4.57851,18.8202,8.48347,8.101239999999999
chr11:5226296-5226297,434.366,89.3554,49.2665,8.80992,21.8802,4.60331,18.7376,8.43802,8.07231
chr11:5226298-5226299,433.41900000000004,88.5702,48.873999999999995,8.772730000000001,21.7686,4.6281,18.655,8.392560000000001,8.043389999999999
chr11:5226305-5226306,430.10699999999997,85.8223,47.5,8.642560000000001,21.3781,4.71488,18.3657,8.23347,7.94215
chr11:5245907-5245908,643.056,11.2231,12.5558,21.0475,53.2789,62.6612,38.4318,27.2748,27.4525
chr11:5245945-5245946,684.362,10.6488,13.4401,19.4277,53.7293,58.4112,38.2479,25.0537,28.3037
chr11:5245962-5245963,699.51,10.3533,13.75,18.8368,53.8492,55.0083,37.8264,23.6281,28.4607
chr11:5245970-5245971,701.5930000000001,10.2872,13.75,18.7045,53.8326,53.6694,37.6281,23.1322,28.345
chr11:5246236-5246237,712.543,9.0124,19.7603,16.8471,44.4318,23.3802,27.5579,19.0785,24.4029
chr11:5246237-5246238,712.068,8.99174,19.7624,16.8492,44.3285,23.3802,27.5475,19.1198,24.3843
chr11:5246242-5246243,707.312,8.88223,19.7293,16.8285,43.5764,23.3492,27.4711,19.3512,24.2355
chr11:5246244-5246245,704.775,8.836780000000001,19.7045,16.812,43.2128,23.3285,27.4339,19.4504,24.1612
chr11:5246246-5246247,702.238,8.791319999999999,19.6798,16.7955,42.8492,23.3079,27.3967,19.5496,24.0868
chr11:5246279-5246280,662.415,8.2376,19.1136,16.5227,37.595,23.2025,26.8616,20.7541,23.1343
chr11:5246280-5246281,661.2539999999999,8.22521,19.093,16.5145,37.4525,23.2045,26.8471,20.781,23.1116
chr11:5246293-5246294,643.804,8.08884,18.7004,16.3657,35.4008,23.1653,26.6839,21.1384,22.7665
chr11:5246294-5246295,642.054,8.08264,18.6488,16.3471,35.2087,23.1508,26.6756,21.1674,22.7314
chr11:5246314-5246315,608.525,8.0,17.6405,15.9669,31.6219,22.811999999999998,26.5351,21.6715,22.0455
chr11:5246896-5246897,672.6139999999999,15.5289,39.4442,45.4917,40.9298,41.3967,36.3223,21.8368,21.4277
chr11:5246901-5246902,685.816,15.5496,40.4979,46.1426,40.9298,41.9029,36.281,21.8368,21.7169
chr11:5246905-5246906,696.378,15.5661,41.3409,46.6632,40.9298,42.3079,36.2479,21.8368,21.9483
chr11:5246906-5246907,699.0189999999999,15.5702,41.5517,46.7934,40.9298,42.4091,36.2397,21.8368,22.0062
chr11:5246908-5246909,704.3,15.5785,41.9731,47.0537,40.9298,42.6116,36.2231,21.8368,22.1219
chr11:5246959-5246960,738.822,15.9318,45.8678,48.812,39.9917,45.1983,35.9029,22.4525,24.814
chr11:5246963-5246964,735.196,15.9525,45.6591,48.6632,39.8946,45.2025,35.9029,22.5517,24.9793
chr11:5246966-5246967,731.6569999999999,15.9649,45.4236,48.5145,39.8264,45.1653,35.9091,22.625999999999998,25.0847
chr11:5246970-5246971,726.938,15.9814,45.1095,48.3161,39.7355,45.1157,35.9174,22.7252,25.2252
chr11:5248367-5248368,2340.45,17.2913,32.8533,22.9669,40.781,52.7293,98.5785,24.1033,32.2314
chr11:5248398-5248399,2188.61,16.3285,31.0269,21.9649,36.7789,50.68600000000001,96.3719,24.0847,29.845
chr11:5248436-5248437,1906.54,14.8657,28.8037,19.7913,32.9236,48.3223,89.1818,23.9525,26.064
chr11:5248437-5248438,1899.39,14.8285,28.7583,19.7335,32.843,48.2686,88.9835,23.9483,25.9711
chr11:5248456-5248457,1680.21,14.157,26.8058,18.0723,31.4525,46.4752,82.9318,23.7293,23.8884
chr11:5249150-5249151,112.256,7.0124,5.074380000000001,11.3595,16.3822,30.1012,20.8492,12.1798,5.9938
chr11:5249152-5249153,112.587,7.06198,5.04545,11.4256,16.4773,30.1756,20.9607,12.1591,5.96901
chr11:5249162-5249163,113.686,7.29339,4.90496,11.7066,16.9401,30.4938,21.4525,12.0558,5.85331
chr11:5255877-5255878,437.279,22.6095,12.7211,37.0413,14.5145,167.97099999999998,15.4607,24.6384,25.3264
chr11:5255968-5255969,274.756,17.7128,9.81198,41.2107,14.1798,165.378,17.2624,23.4669,20.8698
chr11:5263459-5263460,72.1591,7.4607399999999995,6.62397,8.334710000000001,13.5537,15.3058,6.1384300000000005,14.1467,8.94421
chr11:5263461-5263462,72.4483,7.491739999999999,6.675619999999999,8.38017,13.5372,15.3698,6.17355,14.2273,8.98347
chr11:5263466-5263467,72.8822,7.533060000000001,6.7686,8.462810000000001,13.5062,15.4835,6.2562,14.3616,9.06612
chr11:5263467-5263468,72.969,7.54132,6.78719,8.479339999999999,13.5,15.5062,6.27273,14.3884,9.08264
chr11:5263505-5263506,76.7624,7.7892600000000005,7.55992,9.17355,13.1983,16.469,7.0,15.2438,9.776860000000001
chr11:5263506-5263507,76.8802,7.79339,7.58264,9.19421,13.187999999999999,16.4979,7.02273,15.2603,9.79752
chr11:5263513-5263514,77.5372,7.803719999999999,7.7107399999999995,9.30785,13.1653,16.6632,7.16322,15.3079,9.90496
chr11:5263515-5263516,77.6612,7.799589999999999,7.735539999999999,9.328510000000001,13.1777,16.6963,7.196280000000001,15.2955,9.921489999999999
chr11:5263541-5263542,79.1529,7.741739999999999,8.05372,9.584710000000001,13.3264,17.125999999999998,7.6466899999999995,15.093,10.1405
chr11:5263542-5263543,79.155,7.7376,8.06405,9.58884,13.3264,17.1426,7.67355,15.0661,10.1508
chr11:5263598-5263599,76.7727,7.3905,8.19835,9.51033,12.9525,17.4711,8.76653,13.2004,10.4421
chr11:5263610-5263611,74.6653,7.26653,8.04959,9.38636,12.8533,17.2727,8.94008,12.5558,10.343
chr11:5263621-5263622,72.3926,7.19835,7.86777,9.227269999999999,12.8079,17.0227,9.03099,12.0785,10.2066
chr11:5263624-5263625,71.7727,7.17975,7.81818,9.18388,12.7955,16.9545,9.05579,11.9483,10.1694
chr11:5264340-5264341,72.186,3.18182,4.8884300000000005,4.3326400000000005,11.1632,2.04752,8.17769,7.805789999999999,5.45041
chr11:5264375-5264376,88.6839,3.80165,5.68388,4.25,11.9793,2.2231400000000003,8.8595,7.59917,5.20248
chr11:5264384-5264385,91.6405,3.9504099999999998,5.81405,4.25,12.1467,2.27893,8.97107,7.524789999999999,5.1281
chr11:5264411-5264412,99.5455,4.61983,6.01446,4.29545,12.7335,2.67355,9.25207,7.21281,4.90496
chr11:5264421-5264422,100.55799999999999,4.84711,5.9938,4.31612,12.8988,2.8388400000000003,9.272730000000001,7.1095,4.82231
chr11:5264761-5264762,91.7025,5.92355,4.3719,5.1219,16.4711,4.303719999999999,10.5785,4.83058,2.2747900000000003
chr11:5264805-5264806,108.463,6.783060000000001,3.7355400000000003,4.45248,17.3471,3.9318199999999996,9.67769,5.3843,3.30785
chr11:5265117-5265118,50.2252,5.54752,2.28306,5.97314,10.5661,3.39256,3.05785,8.01653,3.60124
chr11:5265129-5265130,46.655,5.42355,2.2086799999999998,5.89876,10.343,3.5165300000000004,3.08264,7.94215,3.62603
chr11:5265161-5265162,35.5455,5.010330000000001,2.0062,5.657019999999999,9.71074,3.9814,3.46694,7.93182,3.7871900000000003
chr11:5265168-5265169,34.186,4.96694,1.9338799999999998,5.61364,9.62397,4.0826400000000005,3.58264,7.989669999999999,3.8595
chr11:5265169-5265170,33.9917,4.96074,1.92355,5.60744,9.61157,4.09711,3.5991699999999995,7.99793,3.8698300000000003
chr11:5265172-5265173,33.4091,4.94215,1.8925599999999998,5.58884,9.57438,4.1405,3.64876,8.022730000000001,3.9008300000000005
chr11:5265967-5265968,481.876,5.8657,20.0331,26.25,18.188,54.5269,26.2087,21.0434,19.6054
chr11:5265968-5265969,485.42800000000005,5.86983,20.1446,26.2913,18.1612,54.6921,26.2417,21.125999999999998,19.6798
chr11:5265970-5265971,492.531,5.8781,20.3678,26.374000000000002,18.1074,55.0227,26.3079,21.2913,19.8285
chr11:5265973-5265974,503.186,5.8905,20.7025,26.4979,18.0269,55.5186,26.406999999999996,21.5393,20.0517
chr11:5265975-5265976,510.289,5.89876,20.9256,26.5806,17.9731,55.8492,26.4731,21.7045,20.2004
chr11:5266009-5266010,649.558,6.32851,24.3884,28.2335,17.1839,62.0062,27.4318,24.5971,23.2252
chr11:5266055-5266056,751.717,7.44835,24.7004,29.7603,16.4463,66.4298,27.2459,25.9938,25.9401
chr11:5266065-5266066,760.539,7.77893,24.1322,30.1219,16.3636,66.9153,26.9773,25.9731,26.4566
chr11:5266067-5266068,760.7710000000001,7.840910000000001,23.9752,30.1798,16.3678,66.9401,26.9112,25.936,26.531
chr11:5266509-5266510,20.1302,3.8181800000000004,4.12397,13.5475,13.1178,8.54959,10.9277,8.66942,5.05785
chr11:5266510-5266511,20.1942,3.8099199999999995,4.11983,13.5434,13.1033,8.51653,10.9236,8.62603,5.03306
chr11:5266511-5266512,20.2459,3.8037199999999998,4.11364,13.5455,13.0992,8.50826,10.9318,8.59504,5.0206599999999995
chr11:5266557-5266558,22.436,3.4814,3.8657,13.4174,12.8347,8.01653,11.4236,6.8719,4.30165
chr11:5296477-5296478,9.61364,10.5475,2.30579,7.3843,10.75,3.5661199999999997,14.3554,11.1157,6.0826400000000005
chr11:5296526-5296527,11.7066,12.6322,2.7562,8.24174,12.3388,4.2624,15.8967,13.3616,8.12603
chr11:5296537-5296538,12.0248,13.064,2.80165,8.400830000000001,12.7707,4.35331,16.2149,13.8616,8.5124
chr11:5297162-5297163,1006.58,20.6302,56.4236,76.2583,48.3864,195.917,83.9421,47.7975,69.6157
chr11:5297168-5297169,1039.21,21.0269,57.9112,76.9277,48.3368,196.58700000000002,84.0289,48.3554,69.6529
chr11:5297170-5297171,1050.09,21.1591,58.407,77.1508,48.3202,196.81,84.0579,48.5413,69.6653
chr11:5297171-5297172,1055.52,21.2252,58.655,77.2624,48.312,196.921,84.0723,48.6343,69.6715
chr11:5297172-5297173,1060.96,21.2913,58.9029,77.374,48.3037,197.033,84.0868,48.7273,69.6777
chr11:5297273-5297274,1238.57,25.6963,63.43600000000001,74.6508,39.8822,177.22299999999998,75.3017,49.8264,60.5785
chr11:5297274-5297275,1235.37,25.6942,63.2314,74.4855,39.7562,176.78900000000002,75.1426,49.7397,60.4194
chr11:5302001-5302002,1556.49,24.4711,140.37,78.1963,67.8512,129.72299999999998,555.136,204.407,147.062
chr11:5302474-5302475,45.5269,8.36777,3.29545,9.7562,16.4669,5.20248,28.1157,15.9174,8.00413
chr11:5302483-5302484,44.2624,8.107439999999999,3.25826,9.644630000000001,16.281,4.9793400000000005,26.7583,15.5455,7.63223
chr11:5302494-5302495,42.3244,7.74793,3.20248,9.54959,15.9917,4.696280000000001,25.0062,15.0083,7.20868
chr11:5302519-5302520,37.4442,6.92975,3.10331,9.50207,15.2211,4.19215,21.6446,13.7665,6.6095
chr11:5302520-5302521,37.2913,6.904960000000001,3.10331,9.50413,15.1942,4.18388,21.5723,13.7314,6.60537
chr11:5302521-5302522,37.1384,6.88017,3.10331,9.5062,15.1674,4.175619999999999,21.5,13.6963,6.60124
chr11:5302522-5302523,36.9855,6.85537,3.10331,9.50826,15.1405,4.1673599999999995,21.4277,13.6612,6.597110000000001
chr11:5302555-5302556,30.4525,6.00413,2.97107,9.642560000000001,14.2541,3.8285099999999996,18.9421,12.2376,6.32851
chr11:5302558-5302559,29.7149,5.92355,2.94628,9.66116,14.1736,3.79132,18.7066,12.0826,6.29132
chr11:5302560-5302561,29.2231,5.86983,2.92975,9.67355,14.1198,3.7665300000000004,18.5496,11.9793,6.26653
chr11:5302561-5302562,29.0517,5.8595,2.91942,9.68595,14.1074,3.76033,18.5248,11.9463,6.26446
chr11:5302569-5302570,27.6798,5.77686,2.83678,9.78512,14.0083,3.71074,18.3264,11.6818,6.24793
chr11:5305317-5305318,17.905,8.479339999999999,0.942149,9.19008,15.9607,6.35331,17.0517,12.4421,9.94008
chr11:5305368-5305369,21.4339,9.23967,0.77686,11.5517,17.9215,6.51653,18.2293,12.3967,10.0537
chr11:5305404-5305405,25.1405,9.4938,0.690083,12.8161,20.0289,7.09917,18.9979,12.4897,9.7562
chr11:5305405-5305406,25.3037,9.50207,0.690083,12.8512,20.1116,7.13223,19.0289,12.4959,9.74793
chr11:5305406-5305407,25.4669,9.51033,0.690083,12.8864,20.1942,7.16529,19.0599,12.5021,9.73967
chr11:5305407-5305408,25.6302,9.5186,0.690083,12.9215,20.2769,7.19835,19.0909,12.5083,9.7314
chr11:5305408-5305409,25.7934,9.526860000000001,0.690083,12.9566,20.3595,7.2314,19.1219,12.5145,9.723139999999999
chr11:5305409-5305410,25.9566,9.53512,0.690083,12.9917,20.4421,7.264460000000001,19.1529,12.5207,9.71488
chr11:5305410-5305411,26.1198,9.543389999999999,0.690083,13.0269,20.5248,7.29752,19.1839,12.5269,9.706610000000001
chr11:5306054-5306055,2546.58,23.5186,204.47099999999998,185.45,90.7293,412.909,369.68800000000005,198.769,313.41700000000003
chr11:5306056-5306057,2535.02,23.4566,203.727,185.16099999999997,90.7417,412.67800000000005,370.031,198.66099999999997,313.045
chr11:5306066-5306067,2464.75,23.1343,198.421,182.68599999999998,90.7169,410.07,369.341,196.72299999999998,310.145
chr11:5308987-5308988,65.4483,5.65496,2.49587,10.2541,21.2583,9.400830000000001,18.0806,12.186,10.3099
chr11:5308996-5308997,65.595,6.05992,2.60331,10.7355,21.4587,9.836780000000001,18.874000000000002,12.0248,10.9153
chr11:5308997-5308998,65.6012,6.1095,2.6157,10.7955,21.4814,9.892560000000001,18.969,12.0083,10.9876
chr11:5309024-5309025,64.7273,7.303719999999999,2.9504099999999998,12.2686,21.9504,11.312000000000001,21.0434,11.7645,12.6798
chr11:5309026-5309027,64.5909,7.38223,2.9752099999999997,12.3678,21.9752,11.4112,21.1632,11.7603,12.7872
chr11:5309027-5309028,64.5227,7.4214899999999995,2.9876,12.4174,21.9876,11.4607,21.2231,11.7583,12.8409
chr11:5309033-5309034,64.1136,7.657019999999999,3.06198,12.7149,22.061999999999998,11.7583,21.5826,11.7459,13.1632
chr11:5309041-5309042,63.4525,7.99587,3.1611599999999997,13.1736,22.1405,12.312000000000001,22.1322,11.7872,13.6963
chr11:5309043-5309044,63.2004,8.099169999999999,3.18595,13.3347,22.1446,12.5682,22.3223,11.8409,13.907
chr11:5309048-5309049,62.5702,8.357439999999999,3.2479299999999998,13.7376,22.155,13.2087,22.7975,11.9752,14.4339
chr11:5309049-5309050,62.4442,8.409089999999999,3.2603299999999997,13.8182,22.156999999999996,13.3368,22.8926,12.0021,14.5393
