0,dc40f17e2081-Hudep2_ATAC,d8c53a171a5d-Hudep2_D3_merged_CTCF.all,a95057f6ddf5-Hudep2_BCL11A,e14214331f97-Hudep2_D0_GATA1.all,cc2410e9fe9b-HUDEP2_LRF_CHIP,23219c20dab0-Hudep2_D3_merged_GATA1.all,1807765d87c9-Hudep2_D3_merged_KLF1.all,75b959ea16be-Hudep2_D3_merged_LDB1.all,7a1f325ee3b3-Hudep2_D3_merged_TAL1.all
chr11:4629078-4629079,239.166,11.7555,1.00276,3.9944800000000003,37.5,6.42265,22.4088,10.6809,6.12293
chr11:4629151-4629152,400.87199999999996,12.4751,2.10912,5.95442,37.6644,8.54006,25.6727,10.6008,8.74586
chr11:4647582-4647583,114.2,71.9185,4.7127099999999995,4.98895,10.8826,2.37845,7.86602,7.40331,5.26105
chr11:4647604-4647605,123.604,75.413,4.0442,4.8895,11.0732,2.3066299999999997,8.05663,7.48619,5.52072
chr11:4647611-4647612,125.40700000000001,76.1547,3.83425,4.8453,11.1436,2.2845299999999997,8.116019999999999,7.51105,5.5704400000000005
chr11:4647612-4647613,125.48100000000001,76.2113,3.80525,4.83702,11.1547,2.28039,8.12155,7.51657,5.57459
chr11:4658295-4658296,170.51,58.3329,2.18094,5.8314900000000005,12.8329,2.25,6.5884,7.80525,4.5704400000000005
chr11:4658347-4658348,181.743,61.0069,2.24309,5.48757,12.0677,2.30249,5.56492,6.3314900000000005,4.7237599999999995
chr11:5012413-5012414,177.238,47.145,1.91989,6.9047,12.0262,12.2459,5.97928,8.580110000000001,5.40331
chr11:5012415-5012416,179.90900000000002,47.5953,1.92265,6.93785,12.0594,12.3149,5.99033,8.6105,5.3977900000000005
chr11:5012425-5012426,193.265,49.8467,1.9364599999999998,7.10359,12.2251,12.6602,6.04558,8.76243,5.37017
chr11:5012472-5012473,238.662,57.7514,1.89503,7.64365,12.6671,13.9448,6.2790099999999995,9.37983,5.15193
chr11:5012481-5012482,243.92,58.8329,1.87017,7.71823,12.692,14.0939,6.32873,9.50414,5.1022099999999995
chr11:5012483-5012484,245.088,59.0732,1.86464,7.73481,12.6975,14.1271,6.33978,9.53177,5.0911599999999995
chr11:5108644-5108645,142.776,7.31492,2.56492,18.3729,19.6506,7.2942,8.81906,7.53315,4.18508
chr11:5108646-5108647,144.00799999999998,7.29006,2.5676799999999997,18.4586,19.5981,7.34392,8.81906,7.54144,4.21823
chr11:5108656-5108657,150.16899999999998,7.16575,2.58149,18.8867,19.3356,7.59254,8.81906,7.58287,4.38398
chr11:5150730-5150731,103.236,7.5884,6.3743099999999995,6.64365,12.9765,25.2638,7.88674,8.31215,6.1367400000000005
chr11:5150817-5150818,133.566,10.2251,6.1685099999999995,7.33978,13.4696,25.8135,7.78177,7.31354,7.90608
chr11:5150818-5150819,133.423,10.2431,6.14227,7.34116,13.4572,25.7569,7.78039,7.30663,7.91989
chr11:5173045-5173046,878.653,14.970999999999998,25.3881,136.72899999999998,37.4019,270.547,69.5732,175.736,185.773
chr11:5173047-5173048,888.181,15.0511,25.6588,137.751,37.4599,271.83099999999996,69.9572,176.99900000000002,186.56400000000002
chr11:5173053-5173054,916.7639999999999,15.2914,26.471,140.81799999999998,37.634,275.685,71.1091,180.78599999999997,188.93400000000003
chr11:5173055-5173056,926.291,15.3715,26.7417,141.84,37.692,276.97,71.4931,182.048,189.72400000000002
chr11:5173086-5173087,1083.93,16.6506,32.5787,158.65200000000002,38.1809,295.985,78.1533,200.05,202.93900000000002
chr11:5173087-5173088,1089.06,16.692,32.7749,159.19899999999998,38.1948,296.594,78.3715,200.623,203.37
chr11:5173088-5173089,1094.19,16.7334,32.971,159.746,38.2086,297.203,78.5898,201.196,203.801
chr11:5173106-5173107,1162.65,17.2362,36.0815,166.718,38.0373,302.51,81.3467,207.072,208.287
chr11:5173110-5173111,1176.14,17.3425,36.768,168.123,37.9572,303.403,81.9047,208.041,209.145
chr11:5173163-5173164,1261.19,18.4627,44.9765,178.899,35.3494,304.471,86.5083,205.678,215.762
chr11:5173165-5173166,1258.42,18.4903,45.1561,178.753,35.1865,303.899,86.4807,204.84099999999998,215.67700000000002
chr11:5173174-5173175,1245.94,18.6146,45.9641,178.09400000000002,34.453,301.32599999999996,86.3564,201.075,215.291
chr11:5173209-5173210,1171.34,18.9144,47.8467,172.986,31.732,289.849,84.9807,184.459,212.113
chr11:5173231-5173232,1068.42,18.9751,46.4793,164.174,29.7265,274.93,81.6989,168.05,203.90900000000002
chr11:5181611-5181612,52.0691,2.58149,0.149171,13.4503,7.9779,18.0608,8.251380000000001,11.1188,10.6851
chr11:5186340-5186341,3.05249,2.68785,0.414365,8.50276,11.3384,11.2431,1.97376,3.97652,6.04282
chr11:5186363-5186364,2.83011,2.9268,0.28729299999999997,7.93646,10.982000000000001,11.0083,2.06354,3.53729,6.1105
chr11:5186382-5186383,2.64641,3.18923,0.18232,7.49033,10.5359,10.6409,2.1160200000000002,3.19613,6.0580099999999995
chr11:5186435-5186436,2.61464,3.94751,0.013812200000000002,6.76934,9.16436,9.26657,2.10221,2.76105,5.535909999999999
chr11:5186437-5186438,2.62017,3.97514,0.00828729,6.74448,9.103589999999999,9.20304,2.09945,2.75276,5.50552
chr11:5186438-5186439,2.6229299999999998,3.98895,0.00552486,6.73204,9.0732,9.17127,2.09807,2.7486200000000003,5.49033
chr11:5226205-5226206,306.133,96.1823,45.2597,8.60773,24.1064,4.96133,19.5718,9.910219999999999,7.70442
chr11:5226215-5226216,324.82,96.7127,46.511,8.707180000000001,23.9793,4.86188,19.5801,9.821819999999999,7.78453
chr11:5226216-5226217,326.628,96.7238,46.6119,8.71547,23.9599,4.8535900000000005,19.576,9.81077,7.79144
chr11:5226294-5226295,407.156,87.0276,46.6644,8.60773,21.7873,4.6353599999999995,18.2997,8.61326,8.109119999999999
chr11:5226296-5226297,406.523,86.5028,46.4019,8.58287,21.7127,4.65193,18.2445,8.58287,8.089780000000001
chr11:5226298-5226299,405.89099999999996,85.9779,46.1395,8.558010000000001,21.6381,4.6685099999999995,18.1892,8.552489999999999,8.07044
chr11:5226305-5226306,403.67699999999996,84.1409,45.221000000000004,8.470989999999999,21.3771,4.72652,17.9959,8.44613,8.00276
chr11:5245907-5245908,625.5930000000001,11.1906,11.8743,21.2804,52.3577,61.8204,38.2058,26.8108,27.0124
chr11:5245945-5245946,673.385,10.7238,13.1285,19.7831,53.5704,56.9075,37.8343,24.7873,27.7058
chr11:5245962-5245963,684.265,10.5207,13.3633,19.3398,53.6354,54.413000000000004,37.4862,23.7514,27.8467
chr11:5245970-5245971,688.939,10.4434,13.4738,19.0856,53.6022,52.86600000000001,37.1768,23.1547,27.913
chr11:5246236-5246237,697.529,9.064919999999999,19.2721,16.6809,43.2141,23.4765,27.4696,19.0193,24.2569
chr11:5246237-5246238,696.768,9.04696,19.2887,16.6727,43.0898,23.4503,27.4475,19.0566,24.2238
chr11:5246242-5246243,692.789,8.962710000000001,19.3218,16.6367,42.4738,23.3577,27.3564,19.2348,24.0746
chr11:5246244-5246245,691.0930000000001,8.932319999999999,19.3052,16.6257,42.2307,23.3439,27.3315,19.3011,24.0249
chr11:5246246-5246247,689.3960000000001,8.90193,19.2887,16.6146,41.9876,23.3301,27.3066,19.3674,23.9751
chr11:5246279-5246280,653.5369999999999,8.48343,18.6008,16.2942,37.3135,22.8812,26.9793,20.489,22.989
chr11:5246280-5246281,652.2959999999999,8.472380000000001,18.5718,16.2818,37.1588,22.8633,26.971,20.5235,22.9558
chr11:5246293-5246294,636.369,8.34945,18.1782,16.1202,35.2265,22.6547,26.8715,20.9268,22.5539
chr11:5246294-5246295,635.1990000000001,8.3453,18.1436,16.1077,35.0981,22.645,26.866,20.9461,22.5304
chr11:5246314-5246315,609.95,8.317680000000001,17.3702,15.7901,32.4599,22.4448,26.796999999999997,21.3122,22.0331
chr11:5246896-5246897,649.206,15.6022,37.8052,44.3757,40.6215,40.7265,36.3812,21.9738,21.7003
chr11:5246901-5246902,658.0319999999999,15.616,38.5097,44.8108,40.6215,41.0649,36.3536,21.9738,21.8936
chr11:5246905-5246906,665.0930000000001,15.6271,39.0732,45.1588,40.6215,41.3356,36.3315,21.9738,22.0483
chr11:5246906-5246907,666.8580000000001,15.6298,39.2141,45.2459,40.6215,41.4033,36.326,21.9738,22.087
chr11:5246908-5246909,670.388,15.6354,39.4959,45.4199,40.6215,41.5387,36.3149,21.9738,22.1644
chr11:5246959-5246960,701.837,15.8715,42.8039,47.13399999999999,39.9116,43.9724,36.0594,22.7169,24.4199
chr11:5246963-5246964,697.428,15.8771,42.5442,46.924,39.7845,44.0055,36.0318,22.8108,24.546999999999997
chr11:5246966-5246967,694.122,15.8812,42.3494,46.7666,39.6892,44.0304,36.010999999999996,22.8812,24.6423
chr11:5246970-5246971,689.7130000000001,15.8867,42.0898,46.5566,39.5622,44.0635,35.9834,22.9751,24.7693
chr11:5248367-5248368,2282.27,16.9931,33.0704,22.2569,41.1934,52.1326,95.5,24.6934,32.0746
chr11:5248398-5248399,2126.17,16.1367,31.018,21.355,37.3909,50.7486,93.5138,24.0152,29.2749
chr11:5248436-5248437,1834.17,15.1243,27.6575,19.3412,33.8135,47.8812,86.7859,23.8135,26.0525
chr11:5248437-5248438,1825.54,15.0981,27.5566,19.2818,33.721,47.797,86.5829,23.8066,25.9641
chr11:5248456-5248457,1670.73,14.6436,26.0829,18.1312,32.6699,46.4834,82.4157,23.6533,24.5055
chr11:5249150-5249151,104.215,7.00829,5.008290000000001,10.9088,16.5456,29.239,20.3605,12.0787,5.9958599999999995
chr11:5249152-5249153,104.436,7.04144,4.98895,10.953,16.6091,29.2887,20.4351,12.0649,5.97928
chr11:5249162-5249163,104.854,7.21133,4.88398,11.1326,16.9309,29.4627,20.7707,11.9834,5.88398
chr11:5255877-5255878,416.98800000000006,22.2417,12.4185,36.6285,14.5401,164.58,15.6022,24.8232,24.4213
chr11:5255968-5255969,275.151,17.6271,9.65746,39.9641,14.3232,161.247,17.1768,23.3481,20.75
chr11:5263459-5263460,70.1174,7.1837,6.41713,8.140880000000001,13.825999999999999,15.0387,6.21685,13.6008,8.8384
chr11:5263461-5263462,70.4296,7.20856,6.46685,8.185080000000001,13.8066,15.1022,6.25,13.6588,8.874310000000001
chr11:5263466-5263467,71.2099,7.27072,6.59116,8.295580000000001,13.7583,15.261,6.33287,13.8039,8.964089999999999
chr11:5263467-5263468,71.366,7.28315,6.61602,8.317680000000001,13.7486,15.2928,6.34945,13.8329,8.98204
chr11:5263505-5263506,76.1367,7.6105,7.41575,9.03315,13.4227,16.3135,6.95856,14.6657,9.602210000000001
chr11:5263506-5263507,76.2155,7.61326,7.43094,9.04696,13.4157,16.3329,6.97376,14.6768,9.616019999999999
chr11:5263513-5263514,76.6064,7.62707,7.53177,9.12707,13.3508,16.4682,7.10773,14.6989,9.71823
chr11:5263515-5263516,76.6837,7.62983,7.55939,9.146410000000001,13.3287,16.5069,7.15193,14.6934,9.748619999999999
chr11:5263541-5263542,77.6519,7.6616,7.9116,9.390880000000001,13.0525,17.0014,7.72238,14.6064,10.1354
chr11:5263542-5263543,77.6533,7.65884,7.91851,9.39365,13.0525,17.0124,7.74033,14.5884,10.1423
chr11:5263598-5263599,73.7403,7.38536,7.88398,9.299719999999999,13.0511,16.9834,8.63674,12.9682,10.1298
chr11:5263610-5263611,72.2334,7.29696,7.77072,9.20994,12.9807,16.8329,8.74724,12.5331,10.0539
chr11:5263621-5263622,69.8633,7.16022,7.52762,9.058010000000001,12.8743,16.5138,8.792819999999999,12.0925,9.88674
chr11:5263624-5263625,69.2169,7.12293,7.46133,9.01657,12.8453,16.4268,8.80525,11.9724,9.84116
chr11:5264340-5264341,72.1243,3.4116,4.8425400000000005,4.38812,11.3163,2.19751,8.118780000000001,7.62155,5.25967
chr11:5264375-5264376,85.2845,3.95718,5.4309400000000005,4.31354,11.989,2.4047,8.6768,7.48066,5.1146400000000005
chr11:5264384-5264385,88.5539,4.13122,5.55525,4.3011,12.1754,2.49171,8.81354,7.43094,5.07735
chr11:5264411-5264412,94.6616,4.63812,5.7058,4.33287,12.6105,2.79006,9.0442,7.22376,4.92818
chr11:5264421-5264422,95.6699,4.8867400000000005,5.65055,4.40193,12.720999999999998,2.94199,9.08564,7.14088,4.8314900000000005
chr11:5264761-5264762,91.5304,6.16298,4.25,5.07735,16.1202,4.39917,10.2058,5.01657,2.42403
chr11:5264805-5264806,106.98299999999999,6.7721,3.86464,4.5511,17.1077,3.95442,9.494480000000001,5.42265,3.57873
chr11:5265117-5265118,52.5276,5.6464099999999995,2.27486,5.8977900000000005,10.6506,3.50276,3.22099,8.096689999999999,3.96823
chr11:5265129-5265130,47.9862,5.480659999999999,2.15884,5.84807,10.4019,3.63536,3.32044,8.11326,3.88536
chr11:5265161-5265162,38.4213,5.1146400000000005,1.96547,5.6809400000000005,9.89503,3.98895,3.65746,8.17956,3.89365
chr11:5265168-5265169,36.3232,5.008290000000001,1.9364599999999998,5.62293,9.837019999999999,4.0663,3.78315,8.26657,3.91298
chr11:5265169-5265170,36.0235,4.9930900000000005,1.93232,5.6146400000000005,9.82873,4.07735,3.8011,8.279010000000001,3.91575
chr11:5265172-5265173,35.1243,4.94751,1.91989,5.58978,9.80387,4.1105,3.85497,8.3163,3.92403
chr11:5265967-5265968,470.44300000000004,6.0511,19.0318,25.7127,18.0028,53.2583,25.6064,20.5304,19.2459
chr11:5265968-5265969,474.358,6.06077,19.1381,25.7749,17.9903,53.4586,25.6478,20.6146,19.3356
chr11:5265970-5265971,482.186,6.0801099999999995,19.3508,25.8992,17.9655,53.8591,25.7307,20.7831,19.5152
chr11:5265973-5265974,493.93,6.10912,19.6699,26.0856,17.9282,54.4599,25.855,21.0359,19.7845
chr11:5265975-5265976,501.75800000000004,6.12845,19.8826,26.2099,17.9033,54.8605,25.9378,21.2044,19.9641
chr11:5266009-5266010,617.3430000000001,6.50967,22.6851,27.8246,17.4544,60.3052,26.8743,23.5704,22.5704
chr11:5266055-5266056,709.877,7.58978,23.018,29.7155,16.7541,64.837,26.6671,25.0428,25.5456
chr11:5266065-5266066,713.3989999999999,7.84116,22.518,30.0304,16.5884,65.221,26.4378,24.982,25.9047
chr11:5266067-5266068,713.1039999999999,7.89365,22.3826,30.0967,16.5497,65.2735,26.3798,24.9489,25.9655
chr11:5266509-5266510,19.9627,3.87845,4.0,13.6975,13.3688,9.030389999999999,11.2831,8.73757,5.20442
chr11:5266510-5266511,19.9986,3.87155,3.99862,13.6865,13.3564,9.00414,11.2845,8.697510000000001,5.18232
chr11:5266511-5266512,20.0345,3.86464,3.99724,13.6754,13.3439,8.9779,11.2859,8.65746,5.16022
chr11:5266557-5266558,21.5456,3.57044,3.91022,13.2376,12.8895,8.052489999999999,11.4903,6.9558,4.28453
chr11:5296477-5296478,9.381219999999999,10.767999999999999,2.23481,7.46409,11.2459,3.53453,14.5525,11.5014,6.18923
chr11:5296526-5296527,11.6713,12.7251,2.65331,8.255519999999999,12.6354,4.32597,15.9116,13.4986,8.15884
chr11:5296537-5296538,12.2638,13.2417,2.7292799999999997,8.45304,13.1064,4.5690599999999995,16.2762,14.0304,8.660219999999999
chr11:5297162-5297163,970.291,20.3923,53.6837,74.0235,46.6685,189.66299999999998,82.0787,46.4406,68.5
chr11:5297168-5297169,1000.33,20.7983,55.1588,74.7113,46.6934,190.56599999999997,82.1948,47.0456,68.4171
chr11:5297170-5297171,1010.35,20.9337,55.6506,74.9406,46.7017,190.86700000000002,82.2334,47.2472,68.3895
chr11:5297171-5297172,1015.35,21.0014,55.8964,75.0552,46.7058,191.018,82.2528,47.3481,68.3757
chr11:5297172-5297173,1020.36,21.0691,56.1423,75.1699,46.7099,191.169,82.2721,47.4489,68.3619
chr11:5297273-5297274,1159.67,24.8881,59.5456,72.5442,39.4876,172.892,74.2362,48.3646,59.5884
chr11:5297274-5297275,1156.4,24.8854,59.3315,72.3619,39.3564,172.331,74.0539,48.2762,59.4157
chr11:5302001-5302002,1469.64,23.5276,133.286,76.6809,65.9116,127.12200000000001,535.865,195.488,143.561
chr11:5302474-5302475,46.018,8.35635,3.47514,10.0359,16.558,5.63398,29.9655,16.0884,8.82735
chr11:5302483-5302484,43.9296,8.07044,3.36326,9.89917,16.1975,5.27348,27.989,15.5663,8.280389999999999
chr11:5302494-5302495,41.7196,7.74862,3.2596700000000003,9.78177,15.8287,4.92127,25.9986,15.0055,7.76105
chr11:5302519-5302520,37.4378,7.11326,3.1008299999999998,9.74033,15.2762,4.44475,23.1257,13.9282,7.11878
chr11:5302520-5302521,37.2293,7.08702,3.09116,9.74033,15.2541,4.42403,23.0083,13.8785,7.08978
chr11:5302521-5302522,37.0207,7.06077,3.08149,9.74033,15.232000000000001,4.40331,22.8909,13.8287,7.06077
chr11:5302522-5302523,36.8122,7.03453,3.07182,9.74033,15.2099,4.3826,22.7735,13.779000000000002,7.03177
chr11:5302555-5302556,30.5925,6.29282,2.81492,9.802489999999999,14.5428,3.88536,19.8729,12.366,6.3853599999999995
chr11:5302558-5302559,30.0994,6.23895,2.79834,9.814919999999999,14.489,3.8605,19.7155,12.2624,6.3605
chr11:5302560-5302561,29.7376,6.21547,2.78039,9.824589999999999,14.4475,3.84254,19.6064,12.1809,6.34392
chr11:5302561-5302562,29.5401,6.2099400000000005,2.76796,9.830110000000001,14.424000000000001,3.8328699999999998,19.5497,12.134,6.33564
chr11:5302569-5302570,27.9599,6.16575,2.66851,9.874310000000001,14.2362,3.7555199999999997,19.0967,11.7583,6.269340000000001
chr11:5305317-5305318,17.5594,8.295580000000001,0.90884,9.21133,16.0414,6.09807,16.761,12.2721,9.432319999999999
chr11:5305368-5305369,21.8066,9.06215,0.792818,11.2721,18.2099,6.73757,18.1644,12.4682,9.883980000000001
chr11:5305404-5305405,26.1298,9.412980000000001,0.792818,12.4213,20.3508,7.56354,19.1229,12.6174,9.837019999999999
chr11:5305405-5305406,26.239,9.418510000000001,0.792818,12.4448,20.4061,7.58564,19.1436,12.6215,9.831489999999999
chr11:5305406-5305407,26.3481,9.42403,0.792818,12.4682,20.4613,7.60773,19.1644,12.6257,9.82597
chr11:5305407-5305408,26.4572,9.42956,0.792818,12.4917,20.5166,7.62983,19.1851,12.6298,9.82044
chr11:5305408-5305409,26.5663,9.435080000000001,0.792818,12.5152,20.5718,7.65193,19.2058,12.634,9.814919999999999
chr11:5305409-5305410,26.6754,9.440610000000001,0.792818,12.5387,20.6271,7.67403,19.2265,12.6381,9.809389999999999
chr11:5305410-5305411,26.9061,9.44613,0.7955800000000001,12.5608,20.7182,7.72238,19.2666,12.6533,9.81906
chr11:5306054-5306055,2437.9,23.2224,194.204,178.92,90.4461,404.486,358.645,190.972,306.401
chr11:5306056-5306057,2430.18,23.1809,193.707,178.727,90.4544,404.33099999999996,358.874,190.90099999999998,306.152
chr11:5306066-5306067,2366.43,22.9061,188.707,176.271,90.1575,401.064,357.93199999999996,188.93599999999998,302.91700000000003
chr11:5308987-5308988,63.38399999999999,5.986190000000001,2.58149,10.7445,21.1989,10.0028,18.2983,12.4599,10.6036
chr11:5308996-5308997,63.61600000000001,6.28867,2.65193,11.1133,21.3481,10.3467,18.9157,12.3481,11.0677
chr11:5308997-5308998,63.6202,6.32182,2.6602200000000003,11.1533,21.3633,10.384,18.9793,12.337,11.116
chr11:5309024-5309025,63.1519,7.34116,2.8839799999999998,12.5456,21.6699,12.1782,21.046999999999997,12.3287,12.9392
chr11:5309026-5309027,63.0829,7.42403,2.90055,12.6671,21.6865,12.3577,21.221,12.3453,13.105
chr11:5309027-5309028,63.0483,7.46547,2.90884,12.7279,21.6948,12.4475,21.308000000000003,12.3536,13.1878
chr11:5309033-5309034,62.8412,7.71409,2.95856,13.0925,21.7445,12.9862,21.8301,12.4033,13.6851
chr11:5309041-5309042,62.5152,8.03867,3.02486,13.5718,21.8039,13.7003,22.5028,12.4793,14.3356
chr11:5309043-5309044,62.3467,8.10773,3.04144,13.6796,21.8066,13.8715,22.6298,12.5152,14.4765
chr11:5309048-5309049,61.9254,8.280389999999999,3.08287,13.9489,21.8135,14.2997,22.9475,12.605,14.8287
chr11:5309049-5309050,61.8412,8.314919999999999,3.09116,14.0028,21.8149,14.3854,23.011,12.6229,14.8992
