0,a08859b52858-Hudep2_ATAC,fe8785968662-Hudep2_D3_merged_CTCF.all,b0da11c1df50-Hudep2_BCL11A,ba7834bdcc8e-Hudep2_D0_GATA1.all,b5e088a81c17-HUDEP2_LRF_CHIP,841dcfc50d9a-Hudep2_D3_merged_GATA1.all,f746e066cca0-Hudep2_D3_merged_KLF1.all,922003c4a54d-Hudep2_D3_merged_LDB1.all,9a15e4413613-Hudep2_D3_merged_TAL1.all
chr11:4208881-4208882,769.443,147.814,6.97525,10.453,58.2129,5.89356,40.0347,9.55693,7.7401
chr11:4208887-4208888,788.6310000000001,151.91299999999998,7.18317,10.4678,59.2673,5.96782,40.302,9.49752,7.78465
chr11:4208899-4208900,827.007,160.111,7.599010000000001,10.4975,61.3762,6.11634,40.8366,9.37871,7.873760000000001
chr11:4208911-4208912,856.775,166.455,7.883660000000001,10.4109,63.3193,6.41832,40.8985,9.05446,8.22525
chr11:4208915-4208916,866.1010000000001,168.455,7.97277,10.3812,63.9431,6.51733,40.9084,8.94554,8.34406
chr11:4216264-4216265,428.292,10.4208,8.07178,134.507,27.9554,130.002,50.8663,46.745,53.3663
chr11:4216266-4216267,435.04,10.495,8.2005,135.394,28.0347,131.002,51.104,47.2698,53.5693
chr11:4216271-4216272,451.908,10.6807,8.52228,137.609,28.2327,133.502,51.698,48.5817,54.0767
chr11:4216275-4216276,465.403,10.8292,8.7797,139.381,28.3911,135.502,52.1733,49.6312,54.4827
chr11:4216307-4216308,556.7,11.802,10.5,151.441,29.448,150.401,55.3441,57.604,57.2772
chr11:4216317-4216318,566.948,11.8762,10.6733,152.876,29.546999999999997,153.718,55.6411,59.5347,57.6485
chr11:4218202-4218203,35.2896,4.62376,0.9232670000000001,8.2995,10.6337,10.5891,8.49505,8.16337,7.25248
chr11:4218204-4218205,35.5074,4.62376,0.9579209999999999,8.24505,10.7277,10.5644,8.4901,8.19307,7.25743
chr11:4218212-4218213,36.3787,4.62376,1.09653,8.02723,11.104000000000001,10.4653,8.4703,8.31188,7.27723
chr11:4218233-4218234,38.6658,4.62376,1.4604,7.45545,12.0916,10.2054,8.41832,8.62376,7.329210000000001
chr11:4218234-4218235,38.7748,4.62376,1.4777200000000001,7.42822,12.1386,10.1931,8.41584,8.63861,7.33168
chr11:4218236-4218237,38.9926,4.62376,1.5123799999999998,7.373760000000001,12.2327,10.1683,8.41089,8.66832,7.33663
chr11:4218245-4218246,39.9728,4.62376,1.66832,7.128710000000001,12.6559,10.0569,8.38861,8.80198,7.358910000000001
chr11:4218255-4218256,40.5124,4.68564,1.8341599999999998,6.829210000000001,13.1411,9.87129,8.41832,8.84406,7.2599
chr11:4218313-4218314,38.4431,5.46535,2.53218,5.09158,15.5198,8.56931,8.88614,8.38614,6.10396
chr11:4218320-4218321,37.2822,5.63861,2.5495,4.88366,15.6584,8.41337,8.95545,8.26485,5.96535
chr11:4353277-4353278,91.6188,5.73762,1.41832,6.893560000000001,9.55198,6.27723,4.93812,10.453,5.43812
chr11:4353278-4353279,92.0842,5.73267,1.41089,6.925739999999999,9.52228,6.28713,4.91337,10.4604,5.46287
chr11:4353280-4353281,93.0149,5.72277,1.39604,6.9901,9.46287,6.30693,4.86386,10.4752,5.51238
chr11:4353287-4353288,96.2723,5.68812,1.34406,7.21535,9.25495,6.37624,4.69059,10.5272,5.68564
chr11:4353301-4353302,102.17299999999999,5.62624,1.2425700000000002,7.680689999999999,8.86139,6.5099,4.34158,10.6015,6.02228
chr11:4353319-4353320,102.12899999999999,5.62624,1.15347,8.2599,8.68317,6.643560000000001,3.98515,10.3787,6.2896
chr11:4353343-4353344,102.069,5.62624,1.03465,9.03218,8.44554,6.82178,3.5099,10.0817,6.646039999999999
chr11:4403276-4403277,294.267,6.910889999999999,2.83168,4.13861,8.59901,17.7649,11.6683,13.4257,9.27723
chr11:4403325-4403326,382.069,7.75248,3.4430699999999996,4.50248,8.06436,19.6312,13.0767,16.5198,12.3441
chr11:4403327-4403328,384.48,7.77228,3.4678199999999997,4.51238,8.0495,19.6807,13.1312,16.6188,12.4777
chr11:4403334-4403335,392.918,7.84158,3.5544599999999997,4.54703,7.99752,19.854,13.3218,16.9653,12.9455
chr11:4403346-4403347,407.384,7.9604,3.7029699999999997,4.60644,7.90842,20.151,13.6485,17.5594,13.7475
chr11:4403348-4403349,409.795,7.9802,3.7277199999999997,4.61634,7.893560000000001,20.2005,13.703,17.6584,13.8812
chr11:4403350-4403351,411.376,7.99257,3.75,4.62871,7.886139999999999,20.2302,13.7475,17.7426,14.0149
chr11:4403356-4403357,407.366,7.94802,3.76485,4.65842,7.97525,20.1114,13.7772,17.7426,14.1931
chr11:4514612-4514613,283.072,56.7723,6.22277,10.0916,18.9381,7.878710000000001,8.28465,6.03465,4.09406
chr11:4560994-4560995,75.1238,49.948,1.80693,4.37376,9.77228,4.30446,9.30198,7.16337,4.56683
chr11:4560996-4560997,76.4257,50.4876,1.7871299999999999,4.41832,9.80693,4.32921,9.32673,7.19307,4.58663
chr11:4561023-4561024,86.7995,55.5916,1.39604,5.02723,9.992569999999999,4.4901,9.31436,7.425739999999999,4.44554
chr11:4629078-4629079,233.517,11.802,0.663366,3.9430699999999996,38.5223,6.19554,22.2104,10.7327,5.87376
chr11:4629151-4629152,413.587,12.1634,2.28218,6.39356,38.2847,7.97772,25.0074,10.3861,8.81931
chr11:4647582-4647583,120.37100000000001,74.5495,4.86881,5.24752,10.7054,2.41832,7.819310000000001,7.29455,5.56436
chr11:4647604-4647605,133.072,79.1559,3.9405900000000003,5.17822,10.8243,2.35149,8.18069,7.28713,5.87376
chr11:4647611-4647612,134.597,79.6064,3.6633699999999996,5.07426,10.9282,2.31683,8.267330000000001,7.339110000000001,5.87376
chr11:4647612-4647613,134.814,79.6708,3.62376,5.05941,10.9431,2.31188,8.2797,7.3465300000000004,5.87376
chr11:4658295-4658296,184.33900000000003,62.0322,2.12624,5.87624,13.1361,2.25,6.80693,7.7896,4.80446
chr11:4658347-4658348,201.886,64.755,2.24257,5.75495,12.2946,2.25,5.68564,6.08911,4.9901
chr11:5012413-5012414,181.847,47.8985,2.0,7.04455,12.1807,12.0347,5.91089,8.64604,5.5
chr11:5012415-5012416,185.342,48.3936,2.0,7.069310000000001,12.2252,12.1485,5.91584,8.68564,5.5
chr11:5012425-5012426,202.817,50.8688,2.0,7.19307,12.448,12.7178,5.94059,8.88366,5.5
chr11:5012472-5012473,261.572,60.302,1.94307,7.72525,13.052,14.7351,6.22525,9.54208,5.27228
chr11:5012481-5012482,267.765,61.6163,1.9207900000000002,7.814360000000001,13.0743,14.9802,6.31436,9.60891,5.18317
chr11:5012483-5012484,269.14099999999996,61.9084,1.9158400000000002,7.834160000000001,13.0792,15.0347,6.33416,9.62376,5.16337
chr11:5108644-5108645,150.767,7.76238,2.18317,18.6312,20.6856,7.20545,8.87376,7.48515,4.36881
chr11:5108646-5108647,152.797,7.75743,2.16337,18.7599,20.6609,7.26485,8.87376,7.4901,4.41337
chr11:5108656-5108657,160.257,7.579210000000001,2.1955400000000003,19.3119,20.2054,7.59158,8.85891,7.53465,4.58416
chr11:5150730-5150731,106.71,7.57178,6.80693,6.631189999999999,13.3614,26.3243,7.92327,8.46535,6.16337
chr11:5150817-5150818,144.809,10.6361,6.43564,7.46287,13.7723,27.052,7.670789999999999,7.118810000000001,8.09406
chr11:5150818-5150819,144.634,10.651,6.41089,7.46782,13.7525,26.9851,7.67327,7.111389999999999,8.10644
chr11:5173045-5173046,876.428,15.1163,23.7946,137.673,38.5619,279.752,70.2649,181.12099999999998,189.59400000000002
chr11:5173047-5173048,888.587,15.2252,24.0421,139.025,38.6906,281.777,70.7847,183.012,190.69299999999998
chr11:5173053-5173054,926.8510000000001,15.5396,25.1188,143.07399999999998,38.8861,286.505,72.2871,187.93599999999998,193.525
chr11:5173055-5173056,938.564,15.6287,25.5099,144.262,38.896,287.54,72.7129,189.203,194.208
chr11:5173086-5173087,1120.11,17.0099,31.5718,162.678,39.0495,303.577,79.3119,208.847,204.797
chr11:5173087-5173088,1125.97,17.0545,31.7673,163.27200000000002,39.0545,304.094,79.5248,209.48,205.139
chr11:5173088-5173089,1131.83,17.099,31.9629,163.86599999999999,39.0594,304.611,79.7376,210.114,205.48
chr11:5173106-5173107,1221.48,17.755,35.7847,172.886,38.854,311.235,83.1262,218.104,210.98
chr11:5173110-5173111,1233.95,17.8342,36.6955,174.104,38.6955,311.552,83.65100000000001,218.43099999999998,211.87099999999998
chr11:5173163-5173164,1340.89,18.6931,47.3936,185.49,35.995,310.725,88.9554,215.01,220.40599999999998
chr11:5173165-5173166,1338.44,18.703,47.6361,185.386,35.8317,310.14599999999996,88.9703,214.04,220.361
chr11:5173174-5173175,1327.41,18.7475,48.7277,184.918,35.0965,307.54,89.0371,209.673,220.16099999999997
chr11:5173209-5173210,1241.4,18.9233,51.2005,179.327,31.9629,294.324,87.7104,189.12400000000002,216.673
chr11:5173231-5173232,1118.12,19.0322,49.7302,169.743,29.6213,281.309,84.2797,170.827,210.084
chr11:5181611-5181612,56.3069,2.77723,0.0594059,13.8713,8.11386,19.2624,8.14356,11.5223,11.2797
chr11:5186340-5186341,2.79703,2.4306900000000002,0.346535,8.26238,11.495,11.5223,2.05198,3.89109,6.1534699999999996
chr11:5186363-5186364,2.59158,2.77228,0.183168,7.57178,11.1015,11.2599,2.15842,3.35396,6.28218
chr11:5186382-5186383,2.54455,3.14851,0.08910889999999999,7.148510000000001,10.7252,10.9307,2.20545,2.97772,6.32921
chr11:5186435-5186436,2.5,4.11881,0.0,6.66337,9.31188,9.47277,2.16089,2.4505,5.84158
chr11:5186437-5186438,2.5,4.1534699999999996,0.0,6.65842,9.25248,9.40842,2.15594,2.4405900000000003,5.81188
chr11:5186438-5186439,2.5,4.17079,0.0,6.655939999999999,9.22277,9.37624,2.15347,2.4356400000000002,5.79703
chr11:5226205-5226206,315.978,101.277,47.7921,8.91584,24.5495,4.68317,19.7649,10.3837,7.95297
chr11:5226215-5226216,339.49300000000005,101.376,49.203,8.9901,24.4257,4.55941,19.7896,10.1856,8.10149
chr11:5226216-5226217,341.844,101.38600000000001,49.3441,8.99752,24.4134,4.54703,19.7921,10.1658,8.11634
chr11:5226294-5226295,446.463,90.8614,50.6559,8.91584,22.0025,4.56931,18.9827,8.39356,8.07178
chr11:5226296-5226297,447.597,90.3762,50.5025,8.90099,21.9134,4.58911,18.9431,8.34406,8.04703
chr11:5226298-5226299,448.73,89.8911,50.349,8.88614,21.8243,4.60891,18.9035,8.29455,8.02228
chr11:5226305-5226306,441.7,87.09899999999999,48.7005,8.74505,21.453000000000003,4.69554,18.5743,8.18069,7.94307
chr11:5245907-5245908,644.755,11.2426,12.6856,21.1163,53.448,63.1114,38.4802,27.5,27.5767
chr11:5245945-5245946,690.75,10.5842,13.6262,19.2351,53.8243,58.7847,38.3861,25.0545,28.6114
chr11:5245962-5245963,700.502,10.3738,13.75,18.755,53.8441,55.6782,37.9901,23.802,28.5272
chr11:5245970-5245971,702.998,10.2946,13.75,18.5965,53.8243,54.0743,37.7525,23.2079,28.3886
chr11:5246236-5246237,712.75,8.96535,19.8366,16.8416,44.3193,23.2574,27.5446,19.1931,24.3094
chr11:5246237-5246238,712.181,8.94059,19.8391,16.8441,44.1955,23.2574,27.5322,19.2426,24.2871
chr11:5246242-5246243,709.334,8.81683,19.8515,16.8564,43.5767,23.2574,27.4703,19.4901,24.1757
chr11:5246244-5246245,708.196,8.767330000000001,19.8564,16.8614,43.3292,23.2574,27.4455,19.5891,24.1312
chr11:5246246-5246247,707.057,8.71782,19.8614,16.8663,43.0817,23.2574,27.4208,19.6881,24.0866
chr11:5246279-5246280,663.488,8.18564,19.1361,16.5767,37.5396,23.3168,26.8589,20.8292,23.1856
chr11:5246280-5246281,662.097,8.17079,19.1114,16.5668,37.3688,23.3193,26.8416,20.8614,23.1584
chr11:5246293-5246294,644.012,7.97772,18.7896,16.4381,35.1485,23.3515,26.6163,21.2797,22.8045
chr11:5246294-5246295,642.621,7.96287,18.7649,16.4282,34.9777,23.354,26.599,21.3119,22.7772
chr11:5246314-5246315,610.386,7.9505,17.8168,16.0099,31.745,22.8985,26.4678,21.6807,22.0792
chr11:5246896-5246897,686.507,15.4926,40.4084,46.1658,41.0916,41.797,36.2946,21.7698,21.3465
chr11:5246901-5246902,700.53,15.5124,41.5545,46.8441,41.099,42.3465,36.2401,21.7599,21.599
chr11:5246905-5246906,705.6489999999999,15.5421,42.0396,47.0916,41.0396,42.604,36.2104,21.7797,21.8267
chr11:5246906-5246907,706.928,15.5495,42.1609,47.1535,41.0248,42.6683,36.203,21.7847,21.8837
chr11:5246908-5246909,709.488,15.5644,42.4035,47.2772,40.995,42.797,36.1881,21.7946,21.9975
chr11:5246959-5246960,749.1310000000001,15.9233,46.5619,49.2797,40.1064,45.3515,35.8985,22.2946,24.7822
chr11:5246963-5246964,743.4780000000001,15.9431,46.1856,49.0421,39.9975,45.2921,35.9084,22.4134,24.9505
chr11:5246966-5246967,739.238,15.9579,45.9035,48.8639,39.9158,45.2475,35.9158,22.5025,25.0767
chr11:5246970-5246971,733.584,15.9777,45.5272,48.6262,39.8069,45.1881,35.9257,22.6213,25.245
chr11:5248367-5248368,2355.24,17.4233,32.75,23.1337,40.9109,52.849,99.0644,24.1238,32.4257
chr11:5248398-5248399,2220.65,16.4257,30.9851,22.2896,36.3837,50.6238,97.9134,24.1238,30.1238
chr11:5248436-5248437,1898.31,14.7401,28.8639,19.7005,32.5866,48.1386,89.1188,23.9431,25.9035
chr11:5248437-5248438,1889.74,14.6955,28.8094,19.6312,32.4901,48.0743,88.8812,23.9381,25.7921
chr11:5248456-5248457,1705.73,14.0297,27.2822,18.2153,31.1262,46.7079,83.6708,23.7896,23.8168
chr11:5249150-5249151,117.059,7.01485,5.11386,11.6287,16.2847,30.6163,21.1411,12.2401,5.99257
chr11:5249152-5249153,116.792,7.054460000000001,5.08416,11.6485,16.3837,30.6411,21.1955,12.2153,5.97277
chr11:5249162-5249163,115.455,7.25248,4.93564,11.7475,16.8787,30.7649,21.4678,12.0916,5.87376
chr11:5255877-5255878,440.676,22.6064,12.7896,37.1733,14.5421,168.782,15.4035,24.5668,25.4901
chr11:5255968-5255969,278.272,17.7797,9.89851,41.4752,14.1411,166.245,17.2153,23.4851,20.9678
chr11:5263459-5263460,72.1312,7.4703,6.59158,8.31683,13.4356,15.2649,6.06931,14.1832,8.94059
chr11:5263461-5263462,72.3391,7.4901,6.636139999999999,8.35644,13.4208,15.3193,6.10891,14.2475,8.9802
chr11:5263466-5263467,72.8589,7.5396,6.74752,8.45545,13.3837,15.4554,6.20792,14.4084,9.07921
chr11:5263467-5263468,72.9629,7.5495,6.7698,8.47525,13.3762,15.4827,6.22772,14.4406,9.09901
chr11:5263505-5263506,76.80199999999999,7.858910000000001,7.584160000000001,9.19554,13.1634,16.4876,6.98762,15.453,9.80693
chr11:5263506-5263507,76.8762,7.856439999999999,7.599010000000001,9.20792,13.1708,16.5074,7.00743,15.4455,9.81683
chr11:5263513-5263514,77.396,7.839110000000001,7.70297,9.29455,13.2228,16.646,7.146039999999999,15.3936,9.88614
chr11:5263515-5263516,77.5446,7.834160000000001,7.73267,9.31931,13.2376,16.6856,7.185639999999999,15.3787,9.90594
chr11:5263541-5263542,79.4752,7.7698,8.11881,9.64109,13.4307,17.2005,7.7005,15.1856,10.1634
chr11:5263542-5263543,79.5495,7.76733,8.13366,9.65347,13.4381,17.2203,7.7203,15.1782,10.1733
chr11:5263598-5263599,78.4084,7.388610000000001,8.36881,9.62624,12.895999999999999,17.7351,8.84158,13.3119,10.6114
chr11:5263610-5263611,75.6881,7.29455,8.15842,9.43812,12.8243,17.4505,8.97772,12.6906,10.4604
chr11:5263621-5263622,72.9653,7.21287,7.940589999999999,9.24752,12.7698,17.151,9.08663,12.1188,10.297
chr11:5263624-5263625,72.2228,7.190589999999999,7.881189999999999,9.19554,12.755,17.0693,9.11634,11.9629,10.2525
chr11:5264340-5264341,73.6931,3.17822,4.98267,4.2995,11.2054,2.02475,8.257430000000001,7.849010000000001,5.47525
chr11:5264375-5264376,88.9926,3.7623800000000003,5.69554,4.25,11.9505,2.19307,8.88119,7.618810000000001,5.24257
chr11:5264384-5264385,92.5347,3.9405900000000003,5.85149,4.25,12.151,2.2599,9.01485,7.5297,5.1534699999999996
chr11:5264411-5264412,100.124,4.56931,6.09158,4.2797,12.7302,2.60891,9.27723,7.2302,4.88614
chr11:5264421-5264422,101.337,4.84158,6.06683,4.30446,12.9282,2.80693,9.30198,7.106439999999999,4.78713
chr11:5264761-5264762,90.6535,5.85891,4.42079,5.17079,16.4158,4.2896,10.6683,4.77228,2.20545
chr11:5264805-5264806,108.41799999999999,6.75248,3.6955400000000003,4.43069,17.4282,3.95545,9.7995,5.34901,3.12129
chr11:5265117-5265118,50.3193,5.53218,2.36386,5.99257,10.604000000000001,3.3465300000000004,3.04455,7.99505,3.5470300000000003
chr11:5265129-5265130,46.0421,5.38366,2.27475,5.9034699999999996,10.3366,3.49505,3.0742599999999998,7.905939999999999,3.5767300000000004
chr11:5265161-5265162,35.900999999999996,5.03713,1.9826700000000002,5.66337,9.70297,3.9529699999999997,3.36139,7.868810000000001,3.7698
chr11:5265168-5265169,34.2723,4.98515,1.8960400000000002,5.61139,9.59901,4.07426,3.5,7.93812,3.85644
chr11:5265169-5265170,34.0396,4.97772,1.88366,5.60396,9.58416,4.09158,3.5198,7.94802,3.86881
chr11:5265172-5265173,33.3416,4.95545,1.84653,5.58168,9.5396,4.14356,3.57921,7.97772,3.90594
chr11:5265967-5265968,479.005,5.83911,19.9901,26.25,18.2995,54.3837,26.2005,21.0025,19.5767
chr11:5265968-5265969,483.26,5.84406,20.1238,26.2995,18.2673,54.5817,26.2401,21.1015,19.6658
chr11:5265970-5265971,491.77,5.85396,20.3911,26.3985,18.203,54.9777,26.3193,21.2995,19.8441
chr11:5265973-5265974,504.535,5.86881,20.7921,26.546999999999997,18.1064,55.5718,26.4381,21.5965,20.1114
chr11:5265975-5265976,513.045,5.87871,21.0594,26.646,18.0421,55.9678,26.5173,21.7946,20.2896
chr11:5266009-5266010,647.0369999999999,6.2203,24.6708,28.1881,17.0891,62.0198,27.5421,24.6757,23.1262
chr11:5266055-5266056,767.5269999999999,7.339110000000001,25.4455,29.7005,16.3861,66.94800000000001,27.5173,26.3639,26.0025
chr11:5266065-5266066,768.913,7.7104,24.505,30.046999999999997,16.4109,67.0965,27.1213,26.1411,26.448
chr11:5266067-5266068,769.191,7.78465,24.3168,30.1163,16.4158,67.1262,27.0421,26.0965,26.5371
chr11:5266509-5266510,20.0965,3.8044599999999997,4.17574,13.5248,13.0792,8.5297,10.849,8.76238,5.10396
chr11:5266510-5266511,20.1584,3.7970300000000003,4.16832,13.5272,13.0743,8.5198,10.8589,8.72525,5.08911
chr11:5266511-5266512,20.2203,3.7896,4.16089,13.5297,13.0693,8.5099,10.8688,8.68812,5.07426
chr11:5266557-5266558,22.6559,3.4802,3.83911,13.5248,12.854000000000001,8.04703,11.3837,6.94307,4.3465300000000004
chr11:5296477-5296478,9.63614,10.5322,2.34158,7.410889999999999,10.6262,3.60396,14.3267,11.0891,6.09901
chr11:5296526-5296527,11.797,12.6337,2.75743,8.21535,12.3812,4.26485,15.9257,13.3342,8.12624
chr11:5296537-5296538,12.1782,13.151,2.81188,8.40594,12.8985,4.37376,16.3069,13.9332,8.58911
chr11:5297162-5297163,999.668,20.5074,56.2599,76.3094,48.6114,196.644,84.20299999999999,47.7822,69.7129
chr11:5297168-5297169,1038.76,20.9827,58.0421,77.1114,48.552,197.446,84.3069,48.4505,69.7574
chr11:5297170-5297171,1051.79,21.1411,58.6361,77.3787,48.5322,197.713,84.3416,48.6733,69.7723
chr11:5297171-5297172,1058.3,21.2203,58.9332,77.5124,48.5223,197.847,84.3589,48.7847,69.7797
chr11:5297172-5297173,1064.82,21.2995,59.2302,77.646,48.5124,197.98,84.3762,48.896,69.7871
chr11:5297273-5297274,1250.89,25.8094,64.1411,75.0272,40.0322,178.109,75.5842,50.1386,60.7178
chr11:5297274-5297275,1247.05,25.8069,63.896,74.8292,39.8812,177.58900000000003,75.3936,50.0347,60.5272
chr11:5302001-5302002,1605.64,25.0099,144.512,79.1361,68.9505,131.235,566.342,209.715,149.14600000000002
chr11:5302474-5302475,45.5817,8.39109,3.25495,9.757430000000001,16.5099,5.14356,27.9158,15.901,7.905939999999999
chr11:5302483-5302484,44.0668,8.07921,3.2104,9.62376,16.2871,4.87624,26.2896,15.4554,7.4604
chr11:5302494-5302495,42.2153,7.69802,3.15594,9.4604,16.0149,4.5495,24.302,14.9109,6.915839999999999
chr11:5302519-5302520,37.6312,6.915839999999999,3.12376,9.42822,15.2401,4.18069,21.5495,13.7946,6.53218
chr11:5302520-5302521,37.448,6.886139999999999,3.12376,9.43069,15.2079,4.17079,21.4629,13.7525,6.52723
chr11:5302521-5302522,37.2649,6.856439999999999,3.12376,9.43317,15.1757,4.16089,21.3762,13.7104,6.52228
chr11:5302522-5302523,37.0817,6.82673,3.12376,9.43564,15.1436,4.15099,21.2896,13.6683,6.51733
chr11:5302555-5302556,30.8144,5.93069,3.05198,9.58416,14.1683,3.8316800000000004,18.7079,12.2723,6.35644
chr11:5302558-5302559,30.198,5.89356,3.01485,9.62871,14.1238,3.8094099999999997,18.6188,12.1535,6.34901
chr11:5302560-5302561,29.7871,5.86881,2.9901,9.65842,14.0941,3.79455,18.5594,12.0743,6.34406
chr11:5302561-5302562,29.5817,5.85644,2.97772,9.67327,14.0792,3.7871300000000003,18.5297,12.0347,6.34158
chr11:5302569-5302570,27.9381,5.75743,2.87871,9.79208,13.9604,3.7277199999999997,18.2921,11.7178,6.32178
chr11:5305317-5305318,17.8119,8.47525,0.9554459999999999,9.12871,15.9035,6.37376,17.0619,12.4554,10.0025
chr11:5305368-5305369,21.3465,9.26238,0.7821779999999999,11.5371,17.8069,6.4703,18.2005,12.3762,10.0644
chr11:5305404-5305405,24.4109,9.51238,0.638614,12.953,19.7673,6.83168,18.8936,12.4233,9.72772
chr11:5305405-5305406,24.5718,9.51485,0.641089,12.9703,19.849,6.873760000000001,18.9233,12.4332,9.72277
chr11:5305406-5305407,24.7327,9.517330000000001,0.643564,12.9876,19.9307,6.915839999999999,18.953,12.4431,9.71782
chr11:5305407-5305408,24.8936,9.5198,0.64604,13.005,20.0124,6.95792,18.9827,12.453,9.71287
chr11:5305408-5305409,25.0545,9.52228,0.648515,13.0223,20.0941,7.0,19.0124,12.4629,9.70792
chr11:5305409-5305410,25.2153,9.52475,0.65099,13.0396,20.1757,7.04208,19.0421,12.4728,9.70297
chr11:5305410-5305411,25.3762,9.52723,0.653465,13.0569,20.2574,7.084160000000001,19.0718,12.4827,9.69802
chr11:5306054-5306055,2601.5,23.6856,209.33700000000002,188.53,90.8292,416.782,374.36400000000003,202.30700000000002,316.777
chr11:5306056-5306057,2582.67,23.6064,207.812,187.77200000000002,90.8094,415.926,373.814,201.61900000000003,315.916
chr11:5306066-5306067,2488.48,23.2104,200.188,183.985,90.7104,411.644,371.06699999999995,198.178,311.60900000000004
chr11:5308987-5308988,66.0569,5.68564,2.4703,10.2797,21.3094,9.40594,18.2698,12.099,10.3713
chr11:5308996-5308997,66.6139,5.99752,2.58168,10.6139,21.5322,9.65099,18.9604,11.854000000000001,10.9059
chr11:5308997-5308998,66.6757,6.03218,2.59406,10.651,21.5569,9.67822,19.0371,11.8267,10.9653
chr11:5309024-5309025,64.8465,7.2896,2.9901,12.2228,21.9901,11.2252,21.0272,11.6931,12.7153
chr11:5309026-5309027,64.6832,7.383660000000001,3.0198,12.3416,22.0198,11.3441,21.1708,11.6881,12.8441
chr11:5309027-5309028,64.6015,7.430689999999999,3.03465,12.401,22.0347,11.4035,21.2426,11.6856,12.9084
chr11:5309033-5309034,64.1114,7.71287,3.12376,12.7574,22.1238,11.7599,21.6733,11.6708,13.2946
chr11:5309041-5309042,63.4579,8.08911,3.24257,13.2327,22.2426,12.2351,22.2475,11.651,13.8094
chr11:5309043-5309044,63.2946,8.18317,3.27228,13.3515,22.2723,12.354000000000001,22.3911,11.645999999999999,13.9381
chr11:5309048-5309049,62.8861,8.41832,3.3465300000000004,13.6485,22.3465,12.651,22.75,11.6337,14.2599
chr11:5309049-5309050,62.8045,8.46535,3.36139,13.7079,22.3614,12.7104,22.8218,11.6312,14.3243
chr11:5309051-5309052,62.5297,8.56683,3.37871,13.8762,22.354,12.9975,23.0149,11.7054,14.5396
chr11:5309426-5309427,969.97,22.7351,66.2005,111.36399999999999,33.948,262.715,122.851,106.88600000000001,160.156
chr11:5309515-5309516,1610.41,26.75,108.265,136.498,39.3985,315.443,140.485,121.34700000000001,191.611
chr11:5312637-5312638,302.376,124.485,8.27228,10.1931,22.7401,5.74505,15.9703,13.3416,8.43564
chr11:5312647-5312648,318.39099999999996,130.45,8.54455,9.84653,23.3342,6.14109,16.0941,13.3663,8.48515
chr11:5319062-5319063,133.121,6.21782,12.0569,16.5569,13.5916,13.7847,10.9381,14.3366,6.6534699999999996
