0,be58cf76d97b-1440317_H3K27ac_H2_D3.all,83c5ee70b54c-Hudep2_ATAC,ff172dc44bae-1686607_H2_ABEmax_RNAseq.all,a5827a3aed28-Hudep2_D3_merged_CTCF.all,0e736a158439-Hudep2_BCL11A,f4de4caca3a7-1440315_H3K27me3_H2_D3.all,9c840e19bbed-Hudep2_D0_GATA1.all,f0663efdfef9-HUDEP2_LRF_CHIP,50d97c7d24d1-1788283_H2_ABEmax.all,7f7f32ae893c-Hudep2_D3_merged_GATA1.all,239c569c6374-Hudep2_D3_merged_KLF1.all,6af40841b8aa-1440311_H3K9me3_H2_D3.all,b9695d26860d-Hudep2_D3_merged_LDB1.all,188da58c07d8-1440307_H3K4me1_H2_D3.all,5f7c070fdda9-Hudep2_D3_merged_TAL1.all,35630c3a763e-1440313_H3K9ac_H2_D3.all,5ce8a22e939d-1440319_H3K36me3_H2_D3.all,0bf9f8a97328-1440309_H3K4me3_H2_D3.all
chr11:5150818-5150819,9.0,150.75,0.25,11.0,6.25,2.5,7.5,13.75,0.0,27.75,7.5,1.0,7.0,8.0,8.25,6.75,1.75,4.75
chr11:5173045-5173046,8.43182,764.705,0.0,14.25,21.2045,3.75,126.25,38.1591,0.0,268.97700000000003,66.1818,3.15909,167.114,9.159089999999999,184.68200000000002,3.20455,2.95455,4.88636
chr11:5173047-5173048,8.29545,827.1139999999999,0.0,14.75,22.6136,3.75,132.75,38.4773,0.0,275.932,68.5455,2.97727,175.34099999999998,8.977269999999999,188.045,3.11364,2.86364,4.65909
chr11:5173053-5173054,7.886360000000001,1014.34,0.0,16.25,26.8409,3.75,152.25,39.4318,0.0,296.795,75.6364,2.43182,200.023,8.43182,198.136,2.84091,2.59091,3.97727
chr11:5173055-5173056,7.75,1076.75,0.0,16.75,28.25,3.75,158.75,39.75,0.0,303.75,78.0,2.25,208.25,8.25,201.5,2.75,2.5,3.75
chr11:5173086-5173087,7.75,1076.75,0.0,16.75,28.25,3.75,158.75,39.75,0.0,303.75,78.0,2.25,208.25,8.25,201.5,2.75,2.5,3.75
chr11:5173087-5173088,7.75,1076.75,0.0,16.75,28.25,3.75,158.75,39.75,0.0,303.75,78.0,2.25,208.25,8.25,201.5,2.75,2.5,3.75
chr11:5173088-5173089,7.75,1076.75,0.0,16.75,28.25,3.75,158.75,39.75,0.0,303.75,78.0,2.25,208.25,8.25,201.5,2.75,2.5,3.75
chr11:5173106-5173107,6.5,1325.0,0.0,18.5,40.25,3.5,183.0,38.5,0.0,317.75,86.5,2.0,227.0,7.0,217.5,2.5,2.0,3.0
chr11:5173110-5173111,6.5,1325.0,0.0,18.5,40.25,3.5,183.0,38.5,0.0,317.75,86.5,2.0,227.0,7.0,217.5,2.5,2.0,3.0
chr11:5173163-5173164,4.25,1391.75,0.0,18.75,51.25,2.5,189.5,35.75,0.0,311.75,91.25,2.0,216.5,8.0,224.0,2.75,1.75,1.75
chr11:5173165-5173166,4.25,1391.75,0.0,18.75,51.25,2.5,189.5,35.75,0.0,311.75,91.25,2.0,216.5,8.0,224.0,2.75,1.75,1.75
chr11:5173174-5173175,4.25,1391.75,0.0,18.75,51.25,2.5,189.5,35.75,0.0,311.75,91.25,2.0,216.5,8.0,224.0,2.75,1.75,1.75
chr11:5173209-5173210,3.0,1201.25,0.0,19.0,52.5,1.75,177.75,30.25,0.0,288.5,87.25,2.5,178.0,8.5,215.25,2.75,2.25,1.75
chr11:5173231-5173232,3.0,1201.25,0.0,19.0,52.5,1.75,177.75,30.25,0.0,288.5,87.25,2.5,178.0,8.5,215.25,2.75,2.25,1.75
chr11:5181611-5181612,7.0,59.5,0.0,3.0,0.0,0.5,14.25,8.5,0.0,19.5,7.75,3.75,11.5,3.0,11.25,3.25,5.25,5.0
chr11:5186340-5186341,2.75,2.75,0.0,2.0,0.5,0.75,8.75,11.75,0.0,11.75,2.0,1.0,4.25,2.75,6.0,3.5,1.25,0.5
chr11:5186363-5186364,2.25,2.5,0.0,3.0,0.0,0.5,7.0,11.0,0.0,11.25,2.25,1.25,3.0,2.5,6.5,2.75,1.0,0.25
chr11:5186382-5186383,2.25,2.5,0.0,3.0,0.0,0.5,7.0,11.0,0.0,11.25,2.25,1.25,3.0,2.5,6.5,2.75,1.0,0.25
chr11:5186435-5186436,2.0,2.5,0.0,4.0,0.0,0.5,6.5,9.75,0.0,10.0,2.25,1.5,2.25,2.25,6.25,2.25,1.0,0.25
chr11:5186437-5186438,2.0,2.5,0.0,4.0,0.0,0.5,6.5,9.75,0.0,10.0,2.25,1.5,2.25,2.25,6.25,2.25,1.0,0.25
chr11:5186438-5186439,2.0,2.5,0.0,4.0,0.0,0.5,6.5,9.75,0.0,10.0,2.25,1.5,2.25,2.25,6.25,2.25,1.0,0.25
chr11:5226205-5226206,7.5,379.0,0.75,104.5,52.5,3.75,9.25,24.75,0.0,4.0,19.75,1.5,10.25,11.25,9.0,2.0,3.75,5.0
chr11:5226215-5226216,7.5,379.0,0.75,104.5,52.5,3.75,9.25,24.75,0.0,4.0,19.75,1.5,10.25,11.25,9.0,2.0,3.75,5.0
chr11:5226216-5226217,7.5,379.0,0.75,104.5,52.5,3.75,9.25,24.75,0.0,4.0,19.75,1.5,10.25,11.25,9.0,2.0,3.75,5.0
chr11:5226294-5226295,8.0,463.75,0.5,99.0,55.75,3.75,9.25,23.25,0.0,4.25,20.0,1.75,8.75,11.0,8.25,2.5,4.25,6.75
chr11:5226296-5226297,8.13636,458.75,0.545455,95.5455,53.75,3.61364,9.11364,22.7045,0.0,4.38636,19.5909,1.79545,8.56818,10.7273,8.159089999999999,2.59091,4.06818,7.06818
chr11:5226298-5226299,8.272730000000001,453.75,0.590909,92.0909,51.75,3.47727,8.977269999999999,22.1591,0.0,4.52273,19.1818,1.8409099999999998,8.38636,10.4545,8.06818,2.68182,3.88636,7.386360000000001
chr11:5226305-5226306,8.75,436.25,0.75,80.0,44.75,3.0,8.5,20.25,0.0,5.0,17.75,2.0,7.75,9.5,7.75,3.0,3.25,8.5
chr11:5245907-5245908,22.75,678.75,46.5,10.75,13.75,2.5,20.25,54.0,44.25,61.75,38.5,2.25,26.5,11.25,29.0,15.75,10.5,34.0
chr11:5245945-5245946,22.8636,682.0,47.2727,10.7045,13.75,2.47727,20.0227,53.9773,44.2045,61.1136,38.4773,2.43182,26.1818,11.2045,28.9545,15.7955,10.6818,34.2727
chr11:5245962-5245963,24.0,714.5,55.0,10.25,13.75,2.25,17.75,53.75,43.75,54.75,38.25,4.25,23.0,10.75,28.5,16.25,12.5,37.0
chr11:5245970-5245971,24.0,714.5,55.0,10.25,13.75,2.25,17.75,53.75,43.75,54.75,38.25,4.25,23.0,10.75,28.5,16.25,12.5,37.0
chr11:5246236-5246237,37.5,727.25,71.75,9.25,20.25,1.25,16.75,46.5,59.0,22.5,27.75,2.5,18.75,3.5,24.25,9.5,20.0,43.0
chr11:5246237-5246238,37.5,727.25,71.75,9.25,20.25,1.25,16.75,46.5,59.0,22.5,27.75,2.5,18.75,3.5,24.25,9.5,20.0,43.0
chr11:5246242-5246243,37.5,727.25,71.75,9.25,20.25,1.25,16.75,46.5,59.0,22.5,27.75,2.5,18.75,3.5,24.25,9.5,20.0,43.0
chr11:5246244-5246245,37.5,727.25,71.75,9.25,20.25,1.25,16.75,46.5,59.0,22.5,27.75,2.5,18.75,3.5,24.25,9.5,20.0,43.0
chr11:5246246-5246247,37.2727,719.159,71.1136,9.022730000000001,20.1136,1.15909,16.7955,45.0909,58.9545,22.7727,27.6136,2.59091,19.1591,3.13636,24.1591,9.81818,19.9545,42.7727
chr11:5246279-5246280,36.25,682.75,68.25,8.0,19.5,0.75,17.0,38.75,58.75,24.0,27.0,3.0,21.0,1.5,23.75,11.25,19.75,41.75
chr11:5246280-5246281,36.25,682.75,68.25,8.0,19.5,0.75,17.0,38.75,58.75,24.0,27.0,3.0,21.0,1.5,23.75,11.25,19.75,41.75
chr11:5246293-5246294,36.25,682.75,68.25,8.0,19.5,0.75,17.0,38.75,58.75,24.0,27.0,3.0,21.0,1.5,23.75,11.25,19.75,41.75
chr11:5246294-5246295,36.25,682.75,68.25,8.0,19.5,0.75,17.0,38.75,58.75,24.0,27.0,3.0,21.0,1.5,23.75,11.25,19.75,41.75
chr11:5246314-5246315,35.75,586.75,69.75,7.75,17.75,1.25,15.75,29.25,58.5,22.75,26.0,3.25,22.0,1.25,21.5,13.5,18.25,40.25
chr11:5246896-5246897,42.8864,656.545,252308.0,15.3409,37.3182,3.38636,44.8409,41.3636,197054.0,40.1818,36.5682,4.29545,21.75,3.09091,20.5455,21.0227,29.4545,76.6818
chr11:5246901-5246902,46.9773,716.659,248941.0,15.5682,43.1136,3.72727,47.5682,41.0227,197393.0,43.1364,36.1136,4.40909,21.75,3.3181800000000004,21.9091,21.7045,30.5909,77.1364
chr11:5246905-5246906,50.25,764.75,246248.0,15.75,47.75,4.0,49.75,40.75,197665.0,45.5,35.75,4.5,21.75,3.5,23.0,22.25,31.5,77.5
chr11:5246906-5246907,50.25,764.75,246248.0,15.75,47.75,4.0,49.75,40.75,197665.0,45.5,35.75,4.5,21.75,3.5,23.0,22.25,31.5,77.5
chr11:5246908-5246909,50.25,764.75,246248.0,15.75,47.75,4.0,49.75,40.75,197665.0,45.5,35.75,4.5,21.75,3.5,23.0,22.25,31.5,77.5
chr11:5246959-5246960,53.25,761.75,173465.0,16.0,47.25,3.0,50.0,40.0,147069.0,45.5,36.0,4.25,22.25,4.25,25.75,23.75,31.5,77.0
chr11:5246963-5246964,53.25,761.75,173465.0,16.0,47.25,3.0,50.0,40.0,147069.0,45.5,36.0,4.25,22.25,4.25,25.75,23.75,31.5,77.0
chr11:5246966-5246967,53.25,761.75,173465.0,16.0,47.25,3.0,50.0,40.0,147069.0,45.5,36.0,4.25,22.25,4.25,25.75,23.75,31.5,77.0
chr11:5246970-5246971,53.25,761.75,173465.0,16.0,47.25,3.0,50.0,40.0,147069.0,45.5,36.0,4.25,22.25,4.25,25.75,23.75,31.5,77.0
chr11:5248367-5248368,32.75,2380.75,34317.5,17.75,31.25,0.75,23.75,39.5,35603.5,52.5,101.5,2.25,24.25,3.25,32.5,8.0,9.75,36.75
chr11:5248398-5248399,31.8409,2259.2,21922.0,16.75,30.9773,0.931818,22.6591,37.0455,22725.7,51.0455,98.8636,1.97727,24.1591,3.25,30.6818,8.63636,9.38636,35.8409
chr11:5248436-5248437,30.25,2046.5,229.75,15.0,30.5,1.25,20.75,32.75,189.5,48.5,94.25,1.5,24.0,3.25,27.5,9.75,8.75,34.25
chr11:5248437-5248438,30.25,2046.5,229.75,15.0,30.5,1.25,20.75,32.75,189.5,48.5,94.25,1.5,24.0,3.25,27.5,9.75,8.75,34.25
chr11:5248456-5248457,28.75,1515.5,100.5,13.25,25.75,1.75,16.75,29.75,92.0,46.0,77.5,1.25,23.75,4.5,21.25,11.0,8.0,36.5
chr11:5249150-5249151,38.8409,117.773,1.0,7.04545,5.09091,0.5,11.6818,16.3864,2.97727,30.8182,21.2273,2.34091,12.2273,7.77273,5.97727,15.0909,9.81818,41.6136
chr11:5249152-5249153,38.2045,119.86399999999999,1.0,7.22727,4.95455,0.5,11.9091,16.9318,2.88636,31.5909,21.6364,2.20455,12.1364,7.863639999999999,5.88636,14.9545,10.0909,41.0682
chr11:5249162-5249163,37.25,123.0,1.0,7.5,4.75,0.5,12.25,17.75,2.75,32.75,22.25,2.0,12.0,8.0,5.75,14.75,10.5,40.25
chr11:5255877-5255878,26.0,465.75,151.75,22.75,13.25,0.0,37.5,14.75,204.0,172.5,15.0,3.5,24.25,5.75,26.5,10.0,7.5,32.25
chr11:5255968-5255969,29.0,268.25,19.25,17.25,9.75,0.5,42.75,14.0,24.75,167.5,17.25,1.5,23.5,5.25,20.5,10.5,3.5,29.25
chr11:5263459-5263460,11.5,74.5,762.0,7.75,7.0,0.5,8.75,12.5,977.25,15.75,6.25,0.5,15.25,6.75,9.5,3.5,5.25,14.75
chr11:5263461-5263462,11.5,74.5,762.0,7.75,7.0,0.5,8.75,12.5,977.25,15.75,6.25,0.5,15.25,6.75,9.5,3.5,5.25,14.75
chr11:5263466-5263467,11.5,74.5,762.0,7.75,7.0,0.5,8.75,12.5,977.25,15.75,6.25,0.5,15.25,6.75,9.5,3.5,5.25,14.75
chr11:5263467-5263468,11.5,74.5,762.0,7.75,7.0,0.5,8.75,12.5,977.25,15.75,6.25,0.5,15.25,6.75,9.5,3.5,5.25,14.75
chr11:5263505-5263506,11.75,78.25,518.75,8.0,8.0,1.0,9.5,13.75,673.5,17.0,7.5,1.25,15.75,6.5,10.0,3.25,4.25,15.75
chr11:5263506-5263507,11.75,78.25,518.75,8.0,8.0,1.0,9.5,13.75,673.5,17.0,7.5,1.25,15.75,6.5,10.0,3.25,4.25,15.75
chr11:5263513-5263514,11.75,78.25,518.75,8.0,8.0,1.0,9.5,13.75,673.5,17.0,7.5,1.25,15.75,6.5,10.0,3.25,4.25,15.75
chr11:5263515-5263516,11.75,78.25,518.75,8.0,8.0,1.0,9.5,13.75,673.5,17.0,7.5,1.25,15.75,6.5,10.0,3.25,4.25,15.75
